"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"sigmoid experiment"
"06/09/2023 13:55:56:660 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","winning","resource-dist","assessment-info","assessment-who","function","[step]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
"8","deterministic","uniform","history","mutual","sigmoid","48606","48606","450","1051","0.7204686664197836"
"2","deterministic","uniform","history","mutual","sigmoid","46902","46902","450","993","0.7208455929384675"
"5","deterministic","uniform","history","mutual","sigmoid","49832","49832","450","1171","0.7201898378551934"
"6","deterministic","uniform","history","mutual","sigmoid","48919","48919","450","1131","0.7204296898955416"
"1","deterministic","uniform","history","mutual","sigmoid","48436","48436","450","1105","0.7206912214055662"
"9","deterministic","uniform","history","mutual","sigmoid","51643","51643","450","1199","0.7205235946788529"
"7","deterministic","uniform","history","mutual","sigmoid","50289","50289","450","1232","0.7200938575036291"
"3","deterministic","uniform","history","mutual","sigmoid","54002","54002","450","1403","0.7201770304803526"
"10","deterministic","uniform","history","mutual","sigmoid","49568","49568","450","1126","0.7203014041316977"
"4","deterministic","uniform","history","mutual","sigmoid","53439","53439","450","1309","0.720398959561369"
"11","deterministic","uniform","knowledge","mutual","sigmoid","58886","58886","450","1611","0.7206568624121183"
"14","deterministic","uniform","knowledge","mutual","sigmoid","59329","59329","450","1633","0.7201452915100542"
"16","deterministic","uniform","knowledge","mutual","sigmoid","59519","59519","450","1716","0.7199902552126213"
"13","deterministic","uniform","knowledge","mutual","sigmoid","63407","63407","450","1802","0.7200545681076223"
"21","deterministic","clumped","history","mutual","sigmoid","16229","16229","450","734","0.5215540082568243"
"22","deterministic","clumped","history","mutual","sigmoid","16080","16080","451","572","0.5242537313432836"
"24","deterministic","clumped","history","mutual","sigmoid","16152","16152","450","628","0.5265601783060921"
"23","deterministic","clumped","history","mutual","sigmoid","16100","16100","450","591","0.5295900621118012"
"26","deterministic","clumped","history","mutual","sigmoid","16109","16109","450","671","0.5106213917685766"
"25","deterministic","clumped","history","mutual","sigmoid","16089","16089","450","643","0.5238361613524768"
"27","deterministic","clumped","history","mutual","sigmoid","16107","16107","450","617","0.5275221953188055"
"28","deterministic","clumped","history","mutual","sigmoid","16162","16162","450","600","0.5217732953842347"
"29","deterministic","clumped","history","mutual","sigmoid","16057","16057","450","594","0.5251603661954287"
"15","deterministic","uniform","knowledge","mutual","sigmoid","78536","78536","450","2600","0.7199628195986554"
"12","deterministic","uniform","knowledge","mutual","sigmoid","77991","77991","450","2461","0.7203331153594645"
