approaching, opponent, attackcount
1, 5, 2
5, 4, 2
3, 0, 7
4, 0, 4
6, 2, 4
1, 2, 1
8, 7, 3
8, 0, 5
8, 6, 2
7, 1, 2
7, 8, 4
1, 4, 6
5, 6, 4
4, 7, 8
2, 9, 2
0, 9, 6
9, 1, 12
3, 1, 4
4, 1, 4
0, 8, 12
6, 8, 3
4, 6, 12
1, 9, 3
3, 9, 6
4, 5, 8
5, 3, 2
9, 7, 4
2, 3, 10
1, 8, 5
3, 6, 3
0, 7, 9
6, 0, 3
1, 6, 6
2, 7, 10
4, 8, 5
6, 5, 1
7, 6, 0
8, 1, 0
2, 5, 4
0, 2, 0
3, 5, 1
8, 3, 0
9, 6, 11
6, 9, 5
2, 0, 7
4, 9, 6
2, 8, 7
9, 4, 5
1, 3, 14
9, 0, 4
3, 2, 6
4, 2, 4
7, 3, 1
5, 7, 6
6, 3, 3
7, 4, 3
5, 2, 6
9, 2, 1
4, 3, 6
2, 6, 11
9, 3, 2
5, 9, 4
3, 8, 1
8, 9, 8
9, 5, 8
9, 8, 11
3, 4, 3
7, 9, 4
2, 4, 4
5, 8, 3
8, 2, 1
6, 1, 6
0, 6, 9
2, 1, 10
0, 4, 6
8, 4, 5
7, 5, 1
0, 3, 8
6, 4, 2
0, 5, 7
7, 0, 5
5, 0, 6
1, 7, 8
1, 0, 8
7, 2, 3
6, 7, 5
5, 1, 5
8, 5, 3
0, 1, 8
3, 7, 1
