self, opp, fightsavoided
9, 4, 3
4, 2, 0
1, 9, 2
4, 8, 1
1, 0, 3
5, 2, 0
4, 5, 8
8, 6, 3
2, 6, 1
2, 1, 2
9, 8, 0
2, 4, 4
8, 0, 6
0, 9, 19
7, 2, 0
3, 2, 0
1, 4, 8
7, 3, 4
8, 2, 0
8, 7, 5
3, 8, 0
8, 9, 13
9, 0, 0
2, 8, 1
5, 9, 10
2, 7, 4
6, 3, 6
6, 4, 4
7, 4, 3
2, 9, 17
0, 1, 1
5, 0, 0
2, 5, 16
3, 9, 6
2, 3, 9
1, 6, 0
8, 3, 6
7, 1, 0
5, 4, 7
3, 6, 0
1, 7, 8
9, 6, 0
9, 7, 0
1, 3, 12
3, 1, 2
4, 3, 6
3, 5, 12
2, 0, 9
6, 9, 13
0, 7, 2
9, 2, 0
9, 3, 6
0, 3, 5
0, 5, 14
3, 4, 10
5, 6, 0
8, 5, 13
7, 6, 2
8, 1, 1
5, 8, 0
4, 0, 2
6, 2, 0
3, 7, 4
5, 1, 0
5, 3, 3
6, 1, 3
7, 0, 4
1, 5, 12
1, 2, 2
4, 7, 1
4, 1, 0
0, 6, 1
7, 5, 13
6, 7, 7
9, 1, 0
6, 8, 2
9, 5, 13
7, 9, 22
6, 5, 12
6, 0, 4
8, 4, 10
4, 9, 14
1, 8, 5
3, 0, 4
4, 6, 0
7, 8, 2
5, 7, 6
0, 8, 1
0, 4, 17
0, 2, 0
