winner, loser, victorycount
6, 8, 11
4, 2, 4
0, 2, 10
0, 8, 0
2, 6, 0
9, 6, 0
2, 5, 0
3, 1, 0
2, 3, 5
5, 3, 8
4, 6, 0
6, 5, 9
4, 5, 0
6, 2, 16
5, 0, 2
7, 0, 0
3, 0, 0
0, 7, 8
8, 7, 13
3, 4, 0
6, 7, 18
8, 1, 13
2, 0, 0
1, 2, 15
1, 5, 13
9, 5, 0
7, 5, 0
3, 6, 0
3, 5, 0
5, 2, 7
3, 8, 0
9, 7, 0
5, 1, 0
9, 0, 0
3, 9, 3
7, 8, 0
1, 3, 8
1, 6, 0
0, 3, 7
4, 1, 0
1, 0, 14
1, 9, 13
6, 3, 5
0, 9, 9
3, 7, 0
8, 6, 10
5, 7, 9
8, 4, 13
8, 9, 6
7, 6, 0
1, 8, 0
9, 4, 0
9, 3, 1
3, 2, 0
2, 8, 0
5, 8, 0
9, 1, 0
4, 3, 11
0, 4, 8
9, 8, 0
6, 1, 22
9, 2, 0
8, 0, 12
6, 4, 5
1, 7, 11
8, 5, 16
7, 9, 13
6, 0, 15
5, 4, 5
0, 6, 0
8, 2, 10
7, 1, 0
2, 9, 2
7, 3, 5
7, 2, 9
0, 1, 0
1, 4, 14
2, 4, 0
8, 3, 11
5, 6, 0
7, 4, 8
4, 9, 1
4, 8, 0
0, 5, 4
6, 9, 13
2, 7, 0
4, 7, 0
5, 9, 5
2, 1, 0
4, 0, 0
