approaching, opponent, attackcount
7, 1, 4
4, 3, 7
5, 6, 5
7, 2, 9
7, 0, 11
0, 2, 4
6, 3, 6
9, 1, 2
7, 3, 5
9, 2, 5
4, 8, 4
3, 2, 4
0, 9, 3
5, 1, 11
7, 4, 8
4, 6, 6
6, 9, 9
5, 0, 7
2, 0, 8
4, 1, 8
1, 3, 10
0, 5, 5
2, 3, 7
9, 6, 2
2, 5, 8
0, 7, 2
6, 5, 3
1, 5, 1
4, 7, 3
2, 4, 5
3, 8, 1
0, 4, 0
5, 4, 7
0, 1, 0
5, 8, 5
0, 3, 1
6, 8, 6
1, 7, 5
0, 8, 4
7, 9, 3
4, 9, 10
4, 5, 4
3, 6, 4
9, 0, 1
0, 6, 1
8, 4, 8
6, 7, 3
8, 3, 8
2, 9, 7
3, 0, 10
6, 0, 5
9, 8, 2
8, 6, 6
3, 1, 4
8, 5, 6
1, 8, 3
8, 9, 16
5, 7, 6
7, 8, 4
9, 5, 4
2, 8, 2
1, 2, 1
4, 2, 5
8, 0, 5
1, 6, 4
9, 4, 3
7, 6, 1
5, 2, 4
2, 6, 5
6, 1, 5
3, 7, 4
3, 5, 3
8, 2, 4
9, 3, 5
1, 4, 3
3, 9, 4
2, 1, 5
6, 4, 2
8, 1, 5
5, 3, 11
7, 5, 2
1, 9, 8
4, 0, 7
1, 0, 6
5, 9, 9
3, 4, 2
2, 7, 7
6, 2, 1
8, 7, 4
9, 7, 7
