self, opp, fightsavoided
1, 4, 0
8, 1, 8
3, 6, 11
9, 5, 6
5, 4, 8
5, 9, 1
8, 5, 1
1, 6, 7
7, 4, 1
3, 5, 0
6, 7, 3
1, 9, 3
7, 3, 2
0, 5, 1
7, 5, 1
0, 1, 5
1, 7, 7
9, 1, 5
3, 8, 1
2, 5, 6
6, 3, 2
6, 8, 9
4, 7, 9
7, 6, 5
0, 3, 5
8, 6, 2
4, 8, 7
7, 1, 4
2, 4, 2
9, 4, 3
2, 6, 18
1, 8, 6
1, 3, 5
0, 4, 2
4, 9, 3
8, 7, 3
5, 6, 6
9, 0, 9
3, 4, 1
7, 2, 3
1, 2, 3
5, 0, 6
4, 1, 14
7, 0, 10
9, 6, 5
0, 6, 10
8, 9, 0
7, 9, 0
0, 8, 4
7, 8, 5
3, 2, 8
6, 1, 4
6, 0, 7
2, 0, 10
5, 1, 5
3, 0, 9
4, 3, 9
8, 4, 2
6, 2, 4
2, 1, 5
2, 9, 2
2, 7, 8
4, 6, 4
6, 5, 1
9, 7, 7
9, 8, 9
6, 4, 1
8, 3, 4
5, 7, 7
9, 3, 2
0, 7, 2
5, 8, 14
0, 9, 1
8, 0, 5
4, 0, 4
3, 1, 14
4, 5, 5
2, 8, 13
1, 0, 3
5, 2, 5
4, 2, 1
5, 3, 12
6, 9, 0
2, 3, 4
8, 2, 1
1, 5, 0
0, 2, 6
3, 9, 0
9, 2, 5
3, 7, 9
