winner, loser, victorycount
0, 8, 3
3, 6, 2
6, 4, 6
9, 4, 4
7, 3, 7
4, 5, 12
9, 6, 7
8, 2, 5
2, 8, 1
7, 0, 6
8, 5, 7
2, 6, 9
2, 5, 3
6, 8, 2
5, 3, 6
5, 4, 1
8, 7, 5
4, 1, 18
6, 5, 7
2, 0, 6
0, 5, 5
9, 5, 4
6, 3, 3
8, 0, 5
0, 9, 3
7, 5, 5
0, 3, 5
6, 9, 3
5, 1, 6
4, 9, 5
1, 2, 4
7, 2, 9
2, 1, 9
9, 3, 2
2, 4, 5
8, 3, 2
7, 1, 9
3, 8, 2
9, 7, 6
1, 5, 5
7, 6, 10
5, 2, 4
4, 7, 6
3, 0, 7
4, 3, 7
8, 4, 6
4, 0, 12
4, 6, 8
5, 9, 4
7, 4, 8
3, 9, 4
5, 0, 1
4, 8, 6
9, 1, 4
6, 0, 2
7, 8, 6
6, 7, 1
1, 0, 5
2, 7, 3
6, 2, 6
3, 5, 6
1, 4, 3
0, 6, 4
1, 7, 4
0, 2, 6
0, 1, 1
4, 2, 2
3, 7, 5
5, 7, 4
2, 3, 9
8, 6, 5
5, 6, 7
8, 9, 3
9, 2, 1
7, 9, 7
3, 1, 3
1, 9, 3
1, 3, 2
0, 7, 2
3, 2, 8
5, 8, 5
9, 8, 3
1, 8, 3
9, 0, 4
1, 6, 0
2, 9, 6
6, 1, 6
8, 1, 9
0, 4, 2
3, 4, 3
