approaching, opponent, attackcount
6, 5, 5
3, 1, 4
5, 2, 5
2, 0, 4
1, 8, 3
2, 5, 7
4, 5, 4
7, 6, 6
3, 9, 4
4, 3, 9
5, 3, 3
2, 8, 1
4, 0, 11
0, 2, 6
6, 7, 3
3, 8, 5
3, 7, 7
4, 2, 11
6, 2, 6
2, 4, 5
8, 9, 10
2, 6, 3
9, 4, 7
3, 0, 6
9, 7, 4
8, 4, 6
9, 8, 1
3, 4, 5
2, 3, 4
7, 9, 10
5, 6, 7
7, 8, 3
5, 1, 5
1, 7, 6
5, 8, 4
0, 1, 5
6, 8, 2
3, 2, 9
8, 3, 1
4, 1, 2
4, 6, 5
8, 0, 6
9, 2, 1
6, 1, 5
7, 3, 5
7, 0, 3
5, 0, 2
1, 5, 3
5, 7, 6
2, 7, 1
9, 3, 2
9, 1, 0
3, 6, 8
6, 3, 6
8, 6, 4
4, 7, 5
5, 4, 4
3, 5, 3
9, 6, 0
1, 3, 3
0, 5, 9
7, 5, 9
0, 4, 7
2, 9, 3
6, 4, 5
1, 9, 2
1, 0, 6
8, 1, 4
5, 9, 6
2, 1, 6
4, 9, 6
8, 5, 4
1, 4, 4
8, 7, 4
7, 4, 8
7, 2, 9
9, 0, 4
6, 0, 3
0, 8, 4
1, 6, 7
7, 1, 2
8, 2, 7
0, 7, 2
9, 5, 6
0, 9, 4
0, 6, 9
0, 3, 13
4, 8, 6
6, 9, 3
1, 2, 7
