self, opp, fightsavoided
5, 1, 17
0, 8, 6
2, 8, 1
3, 6, 13
9, 8, 2
9, 2, 12
5, 2, 10
9, 5, 5
5, 7, 10
9, 1, 9
3, 4, 7
5, 4, 7
4, 8, 0
4, 5, 0
1, 2, 4
7, 3, 0
7, 4, 6
3, 8, 8
5, 9, 3
0, 3, 2
7, 5, 0
8, 3, 6
8, 2, 2
2, 3, 1
6, 8, 0
1, 3, 0
3, 0, 2
6, 2, 13
9, 7, 9
7, 2, 8
7, 8, 0
3, 2, 7
8, 7, 14
9, 0, 3
1, 6, 8
3, 5, 1
5, 8, 3
0, 4, 4
1, 9, 0
5, 0, 8
4, 1, 5
6, 7, 10
1, 8, 0
1, 0, 1
7, 9, 0
8, 9, 3
0, 5, 1
5, 3, 5
8, 0, 8
8, 1, 9
0, 9, 3
9, 3, 3
7, 1, 6
0, 1, 7
9, 4, 5
7, 6, 3
2, 7, 7
8, 4, 4
2, 1, 2
8, 5, 1
2, 5, 0
0, 2, 11
8, 6, 4
0, 6, 10
3, 7, 17
6, 4, 9
4, 0, 1
6, 0, 5
4, 6, 17
2, 9, 0
1, 4, 4
7, 0, 1
2, 0, 6
2, 4, 6
6, 1, 6
4, 3, 2
5, 6, 6
2, 6, 6
4, 2, 7
1, 5, 0
3, 9, 3
0, 7, 5
6, 9, 0
4, 7, 7
4, 9, 1
3, 1, 4
1, 7, 12
9, 6, 6
6, 5, 0
6, 3, 1
