winner, loser, victorycount
4, 7, 4
5, 6, 2
0, 1, 1
8, 2, 5
6, 3, 2
7, 8, 2
8, 1, 2
7, 4, 6
3, 9, 12
1, 4, 8
3, 6, 8
8, 3, 4
2, 5, 8
1, 7, 9
9, 3, 4
4, 0, 6
5, 8, 3
3, 1, 6
4, 9, 8
0, 4, 2
5, 3, 0
9, 0, 2
4, 5, 11
5, 4, 1
3, 8, 13
6, 5, 8
7, 1, 4
9, 1, 2
3, 2, 7
9, 4, 1
0, 5, 5
7, 6, 2
9, 2, 5
1, 5, 9
9, 5, 5
7, 3, 5
2, 1, 3
2, 7, 8
1, 0, 13
2, 9, 7
8, 4, 6
7, 9, 9
5, 0, 0
8, 7, 3
0, 7, 3
2, 0, 2
7, 5, 3
7, 0, 4
4, 8, 3
6, 1, 10
3, 7, 10
5, 2, 4
0, 6, 1
0, 2, 2
0, 3, 2
0, 8, 4
3, 4, 8
6, 7, 9
6, 0, 6
2, 6, 5
1, 6, 9
3, 0, 9
4, 3, 2
8, 5, 10
5, 1, 0
9, 8, 4
4, 1, 3
1, 9, 9
7, 2, 6
1, 2, 6
8, 0, 5
2, 3, 5
5, 7, 0
9, 7, 2
2, 4, 4
0, 9, 4
9, 6, 1
1, 8, 7
3, 5, 8
8, 6, 0
6, 2, 1
2, 8, 2
6, 9, 5
1, 3, 6
4, 6, 8
4, 2, 4
8, 9, 7
5, 9, 3
6, 8, 9
6, 4, 4
