approaching, opponent, attackcount
9, 0, 1
3, 8, 12
8, 6, 1
9, 5, 12
4, 7, 0
5, 4, 7
1, 3, 0
8, 3, 0
7, 0, 1
3, 0, 2
9, 1, 2
6, 3, 0
8, 4, 4
7, 2, 1
2, 1, 1
5, 1, 0
6, 9, 0
7, 9, 3
5, 6, 2
4, 1, 1
8, 1, 1
2, 9, 2
1, 8, 9
9, 8, 21
1, 6, 11
3, 7, 2
1, 7, 3
2, 8, 16
4, 2, 1
0, 6, 17
4, 9, 0
6, 4, 13
0, 9, 1
8, 9, 0
0, 8, 15
5, 0, 1
3, 4, 20
3, 2, 3
8, 0, 0
8, 2, 0
0, 1, 2
9, 7, 1
3, 1, 4
7, 3, 1
7, 6, 12
0, 3, 0
4, 5, 1
9, 3, 0
2, 5, 15
8, 5, 2
7, 8, 19
3, 6, 10
5, 2, 0
3, 5, 14
9, 4, 13
6, 1, 0
6, 2, 0
6, 0, 0
0, 7, 0
0, 4, 15
0, 2, 2
1, 9, 2
2, 6, 8
2, 3, 0
4, 0, 0
3, 9, 1
7, 1, 1
6, 7, 1
0, 5, 9
1, 5, 12
4, 8, 1
2, 0, 0
7, 4, 25
5, 7, 1
2, 7, 2
1, 0, 0
4, 3, 0
5, 9, 0
4, 6, 2
9, 2, 2
6, 5, 5
1, 2, 2
6, 8, 9
5, 3, 2
5, 8, 12
7, 5, 10
9, 6, 12
8, 7, 0
1, 4, 13
2, 4, 21
