self, opp, fightsavoided
4, 1, 10
3, 2, 5
7, 3, 4
4, 8, 5
8, 3, 8
6, 2, 5
2, 0, 10
3, 7, 8
7, 8, 0
7, 4, 0
6, 8, 0
2, 7, 6
6, 7, 4
8, 9, 11
3, 6, 4
9, 6, 4
9, 8, 0
0, 3, 4
5, 8, 7
9, 7, 2
3, 9, 3
0, 9, 6
1, 4, 0
8, 4, 5
5, 3, 6
8, 5, 6
9, 0, 6
1, 5, 0
3, 1, 7
9, 2, 4
4, 9, 2
5, 1, 6
3, 5, 0
2, 9, 7
8, 6, 12
0, 2, 7
6, 1, 7
0, 6, 5
8, 2, 6
4, 0, 10
0, 5, 0
5, 2, 7
1, 9, 4
9, 4, 0
2, 3, 9
1, 3, 9
6, 3, 4
2, 6, 10
7, 0, 9
5, 4, 4
6, 0, 7
6, 4, 0
6, 9, 8
5, 0, 10
7, 5, 0
1, 2, 1
7, 1, 5
1, 0, 3
0, 4, 0
4, 5, 5
4, 2, 4
2, 4, 0
5, 7, 13
4, 6, 10
7, 2, 9
9, 5, 0
0, 7, 8
9, 3, 2
2, 8, 0
1, 8, 0
3, 4, 0
4, 7, 15
2, 1, 3
5, 6, 4
0, 8, 0
0, 1, 11
2, 5, 0
5, 9, 9
8, 7, 9
7, 9, 7
1, 6, 5
8, 0, 9
9, 1, 6
3, 0, 8
4, 3, 5
3, 8, 0
7, 6, 6
1, 7, 2
6, 5, 0
8, 1, 8
