winner, loser, victorycount
1, 0, 7
5, 7, 2
7, 9, 0
6, 9, 3
4, 3, 1
0, 2, 21
3, 4, 0
1, 6, 3
2, 9, 0
6, 2, 16
2, 7, 0
5, 0, 4
2, 1, 0
9, 7, 3
0, 9, 0
4, 8, 0
6, 8, 2
7, 1, 0
9, 8, 4
0, 1, 0
0, 6, 0
7, 6, 0
0, 3, 13
8, 1, 2
5, 4, 17
5, 3, 11
4, 5, 0
2, 6, 0
8, 2, 14
7, 4, 22
3, 5, 0
9, 5, 10
6, 3, 12
9, 2, 24
1, 3, 13
6, 0, 5
9, 3, 13
4, 2, 1
8, 5, 5
8, 9, 0
9, 0, 5
1, 7, 3
1, 9, 0
5, 9, 0
3, 2, 3
2, 8, 0
9, 4, 15
1, 4, 26
8, 4, 12
8, 7, 2
0, 8, 0
0, 4, 15
9, 6, 3
4, 6, 0
4, 0, 0
4, 7, 0
3, 9, 0
2, 3, 1
6, 4, 16
6, 1, 3
0, 5, 1
1, 8, 1
7, 5, 0
4, 1, 0
8, 3, 14
2, 5, 0
2, 0, 0
8, 6, 1
7, 2, 17
0, 7, 5
3, 7, 0
6, 7, 2
9, 1, 0
5, 8, 0
8, 0, 2
5, 6, 0
4, 9, 0
3, 1, 0
7, 3, 15
5, 2, 16
6, 5, 16
3, 8, 0
3, 0, 0
3, 6, 0
2, 4, 0
1, 5, 8
1, 2, 20
5, 1, 0
7, 8, 0
7, 0, 0
