approaching, opponent, attackcount
0, 5, 0
5, 0, 16
6, 3, 0
5, 8, 0
6, 9, 0
1, 3, 3
3, 8, 1
9, 0, 12
5, 4, 17
1, 2, 1
6, 5, 0
9, 6, 19
1, 4, 7
3, 1, 2
7, 8, 0
9, 5, 4
2, 1, 2
8, 3, 0
4, 2, 1
6, 4, 0
3, 6, 14
5, 3, 2
6, 0, 5
4, 5, 2
0, 6, 2
3, 9, 0
1, 9, 0
8, 6, 21
5, 1, 1
1, 5, 0
7, 5, 1
0, 9, 0
4, 7, 11
7, 3, 0
6, 7, 4
1, 8, 2
4, 6, 16
6, 2, 1
2, 0, 18
2, 8, 5
8, 9, 1
0, 7, 1
0, 4, 0
3, 2, 4
3, 5, 2
7, 9, 0
2, 6, 18
2, 5, 2
9, 1, 2
8, 1, 1
4, 3, 0
1, 0, 14
3, 7, 17
5, 7, 15
9, 3, 1
0, 2, 0
4, 9, 2
2, 7, 22
2, 3, 3
7, 4, 2
7, 6, 2
3, 0, 13
6, 1, 0
7, 0, 2
4, 8, 0
8, 4, 9
5, 2, 0
8, 0, 9
9, 8, 1
5, 9, 1
9, 7, 16
4, 1, 2
0, 8, 1
1, 7, 12
0, 3, 1
2, 9, 0
5, 6, 15
0, 1, 0
4, 0, 11
7, 1, 0
8, 2, 3
8, 5, 1
7, 2, 0
2, 4, 19
9, 4, 7
9, 2, 0
3, 4, 4
1, 6, 11
8, 7, 13
6, 8, 0
