self, opp, fightsavoided
6, 0, 5
7, 4, 10
3, 0, 3
9, 1, 2
6, 1, 0
0, 7, 8
4, 9, 0
7, 9, 0
1, 6, 9
7, 3, 0
1, 7, 8
1, 2, 6
7, 8, 9
9, 5, 7
8, 5, 6
5, 4, 5
4, 0, 2
6, 9, 0
5, 6, 5
0, 2, 5
0, 3, 0
6, 7, 3
5, 2, 5
6, 8, 8
7, 2, 6
2, 6, 3
3, 6, 2
9, 8, 5
3, 9, 7
3, 5, 4
5, 1, 0
7, 0, 7
8, 7, 13
8, 4, 11
1, 8, 5
4, 3, 1
3, 8, 11
3, 4, 3
2, 9, 0
9, 7, 15
1, 0, 5
4, 6, 2
2, 3, 0
3, 1, 7
9, 6, 4
2, 0, 2
9, 3, 6
6, 4, 5
9, 2, 10
8, 2, 9
1, 9, 12
0, 8, 5
5, 7, 8
4, 8, 13
3, 7, 3
2, 8, 13
5, 3, 2
6, 5, 1
2, 5, 7
8, 6, 4
8, 1, 0
0, 1, 0
3, 2, 10
7, 5, 11
4, 5, 16
2, 4, 1
1, 4, 3
8, 0, 5
1, 5, 7
1, 3, 10
8, 9, 0
0, 9, 0
7, 6, 4
6, 2, 4
0, 5, 13
9, 4, 7
9, 0, 5
4, 1, 0
5, 0, 4
4, 7, 5
4, 2, 6
7, 1, 0
5, 8, 4
0, 4, 5
5, 9, 0
2, 1, 0
8, 3, 1
0, 6, 3
6, 3, 0
2, 7, 9
