winner, loser, victorycount
1, 9, 1
0, 2, 0
0, 8, 1
4, 5, 0
0, 5, 2
1, 7, 1
6, 3, 6
0, 7, 2
7, 3, 7
9, 8, 1
1, 6, 3
7, 9, 7
0, 1, 16
0, 3, 13
1, 4, 1
7, 5, 2
2, 1, 20
1, 5, 2
4, 2, 0
2, 9, 8
0, 4, 2
8, 2, 2
8, 9, 13
8, 5, 3
9, 5, 0
3, 1, 1
4, 6, 8
2, 0, 5
8, 7, 3
9, 0, 2
2, 5, 2
4, 9, 8
2, 7, 2
3, 9, 5
8, 0, 3
7, 0, 2
1, 2, 0
8, 3, 17
6, 5, 1
1, 8, 1
3, 8, 0
7, 8, 5
9, 3, 10
7, 4, 2
2, 3, 13
9, 2, 1
1, 3, 2
2, 6, 3
6, 8, 2
9, 6, 10
5, 0, 0
5, 3, 13
9, 4, 2
4, 3, 13
4, 7, 6
8, 1, 25
4, 1, 20
0, 6, 11
7, 2, 1
2, 8, 3
6, 2, 1
6, 1, 10
7, 1, 16
5, 9, 9
6, 0, 3
9, 1, 11
0, 9, 16
2, 4, 2
3, 2, 1
5, 6, 6
5, 8, 0
9, 7, 1
8, 6, 10
3, 6, 0
6, 4, 1
3, 7, 0
4, 8, 1
3, 4, 1
7, 6, 16
5, 2, 1
5, 1, 18
5, 7, 1
5, 4, 3
1, 0, 1
6, 7, 0
4, 0, 0
8, 4, 1
6, 9, 5
3, 0, 0
3, 5, 0
