approaching, opponent, attackcount
2, 1, 4
0, 1, 4
0, 6, 0
4, 2, 8
9, 1, 11
5, 4, 15
3, 7, 2
0, 8, 1
0, 2, 4
6, 5, 1
4, 6, 0
1, 6, 0
3, 1, 17
4, 1, 8
7, 4, 13
1, 2, 4
2, 0, 3
8, 1, 10
1, 9, 0
6, 9, 2
6, 1, 15
3, 9, 1
5, 2, 14
9, 5, 2
9, 3, 1
8, 7, 0
5, 7, 1
1, 5, 1
4, 0, 7
1, 7, 0
9, 7, 2
1, 3, 0
0, 4, 1
7, 6, 3
2, 6, 2
0, 9, 2
5, 3, 1
0, 5, 0
1, 0, 4
7, 0, 15
1, 8, 4
6, 0, 7
7, 1, 11
9, 8, 8
3, 0, 21
2, 5, 0
8, 3, 0
8, 6, 0
7, 8, 13
1, 4, 5
2, 4, 2
7, 2, 14
3, 8, 12
7, 3, 0
3, 6, 0
3, 4, 8
5, 0, 11
9, 6, 1
4, 8, 3
8, 4, 6
4, 3, 0
5, 8, 6
7, 5, 0
2, 9, 0
4, 7, 0
9, 0, 7
0, 7, 2
8, 5, 0
2, 7, 1
6, 3, 1
6, 2, 20
7, 9, 2
6, 8, 20
3, 5, 2
6, 4, 9
9, 2, 11
9, 4, 11
8, 0, 13
4, 9, 0
6, 7, 2
8, 2, 5
5, 9, 2
4, 5, 1
8, 9, 0
3, 2, 15
5, 1, 12
0, 3, 0
2, 8, 1
5, 6, 2
2, 3, 0
