self, opp, fightsavoided
5, 2, 8
9, 4, 2
8, 6, 0
4, 2, 9
7, 3, 5
1, 7, 11
8, 3, 4
0, 2, 2
8, 0, 1
3, 8, 4
0, 6, 1
7, 5, 11
7, 1, 0
8, 2, 12
0, 3, 8
1, 8, 5
9, 0, 3
0, 1, 3
4, 5, 9
6, 2, 4
5, 1, 2
5, 7, 5
6, 4, 4
1, 0, 7
8, 1, 0
6, 0, 9
0, 8, 5
2, 7, 3
7, 9, 4
0, 7, 5
3, 9, 3
5, 3, 5
1, 5, 6
1, 3, 11
3, 7, 6
2, 4, 2
1, 9, 5
8, 4, 3
2, 9, 6
5, 8, 9
7, 6, 0
3, 2, 12
6, 3, 12
9, 2, 3
5, 9, 8
9, 1, 1
0, 5, 5
6, 7, 8
9, 6, 1
0, 9, 6
2, 3, 6
8, 5, 2
2, 1, 0
5, 6, 0
3, 6, 0
2, 8, 7
4, 7, 9
4, 0, 2
3, 5, 4
8, 9, 8
7, 0, 3
1, 4, 19
4, 3, 3
7, 2, 6
1, 6, 2
7, 4, 5
9, 7, 9
6, 8, 3
5, 0, 5
8, 7, 11
1, 2, 4
3, 4, 5
9, 8, 4
6, 5, 11
9, 5, 7
4, 6, 0
3, 1, 5
7, 8, 3
6, 1, 10
9, 3, 3
3, 0, 3
4, 9, 1
4, 1, 1
2, 6, 0
5, 4, 7
4, 8, 8
2, 0, 1
0, 4, 4
2, 5, 7
6, 9, 4
