winner, loser, victorycount
1, 4, 0
8, 9, 13
1, 0, 0
6, 9, 5
3, 2, 1
1, 2, 0
2, 4, 1
3, 6, 11
4, 1, 12
0, 6, 8
1, 6, 0
1, 9, 1
2, 1, 18
5, 7, 2
4, 0, 14
2, 8, 1
6, 8, 0
0, 2, 3
7, 4, 0
7, 3, 0
6, 1, 7
7, 5, 2
3, 1, 13
2, 7, 0
6, 3, 2
9, 1, 4
3, 8, 0
5, 3, 2
0, 3, 5
1, 3, 0
3, 7, 2
7, 8, 2
9, 8, 2
6, 5, 1
4, 6, 17
7, 1, 11
3, 9, 17
9, 7, 1
5, 1, 20
4, 3, 5
5, 9, 16
8, 5, 1
7, 6, 20
7, 2, 0
6, 4, 0
7, 9, 19
8, 2, 3
5, 8, 4
4, 8, 1
2, 5, 1
9, 6, 6
8, 3, 1
0, 8, 4
6, 2, 1
1, 7, 1
6, 0, 5
7, 0, 10
1, 5, 0
2, 0, 8
1, 8, 1
5, 2, 1
3, 0, 7
8, 7, 2
2, 3, 4
3, 5, 0
2, 6, 12
9, 3, 4
4, 5, 1
8, 1, 15
5, 4, 1
0, 4, 0
0, 1, 9
4, 2, 3
0, 7, 0
9, 5, 0
8, 0, 8
4, 7, 2
9, 2, 2
5, 0, 10
3, 4, 1
6, 7, 3
9, 0, 2
0, 5, 1
8, 6, 19
2, 9, 12
5, 6, 11
8, 4, 0
0, 9, 3
9, 4, 0
4, 9, 12
