approaching, opponent, attackcount
1, 5, 4
2, 0, 8
7, 2, 8
9, 8, 2
2, 6, 9
8, 6, 3
7, 8, 8
6, 4, 3
6, 9, 2
1, 8, 1
4, 0, 2
6, 5, 4
8, 9, 4
8, 5, 8
7, 0, 4
9, 1, 3
9, 4, 7
3, 0, 4
9, 0, 8
3, 4, 5
6, 8, 1
1, 9, 1
3, 7, 2
1, 7, 5
1, 2, 5
0, 9, 7
4, 5, 3
6, 1, 7
0, 2, 5
8, 1, 2
9, 3, 7
7, 9, 4
4, 3, 2
3, 1, 10
5, 0, 5
7, 6, 5
2, 5, 4
2, 1, 5
5, 2, 2
8, 7, 7
5, 7, 5
6, 3, 3
0, 4, 4
6, 0, 2
7, 3, 5
5, 9, 10
2, 9, 8
1, 3, 1
5, 6, 6
5, 8, 8
0, 7, 1
3, 8, 4
0, 3, 8
0, 5, 7
1, 4, 2
4, 1, 5
3, 6, 5
2, 3, 1
1, 0, 2
9, 7, 7
8, 2, 9
1, 6, 0
2, 4, 7
2, 8, 7
7, 1, 5
7, 5, 5
4, 7, 5
9, 2, 7
4, 8, 4
9, 6, 8
5, 1, 9
8, 0, 1
3, 2, 10
3, 9, 8
4, 2, 3
5, 4, 8
4, 6, 7
0, 8, 4
2, 7, 6
8, 3, 4
6, 2, 4
7, 4, 6
0, 1, 4
6, 7, 3
0, 6, 5
4, 9, 6
5, 3, 8
9, 5, 9
8, 4, 3
3, 5, 5
