self, opp, fightsavoided
0, 5, 8
1, 5, 3
9, 4, 1
3, 7, 6
5, 3, 3
3, 5, 11
1, 8, 13
2, 9, 10
6, 9, 7
2, 5, 12
5, 9, 5
9, 5, 11
2, 7, 0
8, 1, 9
9, 3, 7
5, 4, 0
0, 8, 4
2, 6, 3
1, 7, 1
0, 4, 2
7, 0, 0
9, 8, 5
4, 6, 5
4, 8, 9
6, 7, 1
7, 2, 3
6, 5, 9
5, 0, 1
0, 6, 5
4, 1, 10
5, 6, 5
2, 8, 8
2, 3, 5
4, 3, 2
8, 9, 5
9, 2, 3
6, 0, 3
1, 0, 0
7, 5, 7
1, 4, 4
6, 1, 11
3, 6, 4
0, 2, 7
4, 7, 3
8, 0, 0
7, 4, 3
8, 6, 1
3, 4, 4
0, 7, 3
7, 3, 4
1, 2, 0
1, 9, 1
2, 1, 5
5, 2, 1
4, 2, 11
6, 8, 7
2, 4, 3
9, 1, 4
4, 9, 2
8, 2, 8
0, 3, 2
3, 1, 10
6, 4, 3
3, 2, 9
1, 6, 5
0, 1, 7
6, 3, 5
3, 8, 5
7, 6, 7
3, 0, 3
9, 0, 3
3, 9, 13
7, 9, 12
7, 8, 8
9, 7, 1
6, 2, 5
1, 3, 4
4, 5, 15
5, 7, 2
4, 0, 3
8, 7, 0
5, 1, 4
2, 0, 0
8, 4, 3
9, 6, 2
7, 1, 6
8, 5, 11
8, 3, 1
0, 9, 5
5, 8, 8
