winner, loser, victorycount
9, 5, 13
1, 4, 0
1, 2, 8
5, 2, 2
0, 3, 10
6, 5, 4
4, 8, 6
5, 6, 2
7, 6, 8
4, 3, 0
7, 0, 0
7, 1, 14
3, 0, 3
3, 8, 13
0, 4, 16
5, 3, 0
9, 3, 0
7, 4, 11
1, 9, 0
6, 1, 0
6, 8, 0
2, 9, 0
9, 8, 9
4, 0, 0
3, 2, 11
7, 3, 0
3, 7, 8
4, 1, 9
3, 1, 10
2, 6, 0
5, 0, 0
5, 7, 0
7, 8, 7
0, 7, 17
6, 9, 0
3, 9, 13
8, 5, 4
9, 2, 6
2, 1, 0
6, 2, 5
2, 8, 0
5, 1, 0
5, 8, 0
2, 7, 0
0, 5, 4
8, 3, 0
4, 2, 8
0, 6, 12
9, 0, 0
5, 9, 0
9, 4, 16
3, 5, 8
0, 9, 17
8, 9, 0
9, 7, 6
6, 3, 0
4, 9, 0
1, 8, 5
9, 6, 12
8, 6, 5
2, 4, 0
1, 3, 0
9, 1, 5
6, 4, 0
7, 2, 10
6, 7, 0
2, 0, 0
8, 7, 0
5, 4, 0
1, 5, 8
1, 0, 0
8, 2, 3
4, 7, 0
8, 1, 3
3, 4, 16
1, 6, 7
3, 6, 16
4, 5, 15
0, 8, 10
2, 3, 0
8, 0, 0
4, 6, 6
1, 7, 0
2, 5, 0
0, 2, 17
7, 9, 3
7, 5, 12
8, 4, 0
6, 0, 0
0, 1, 18
