approaching, opponent, attackcount
9, 7, 7
5, 9, 2
0, 1, 14
4, 5, 8
2, 0, 8
9, 4, 2
8, 7, 6
8, 1, 5
0, 2, 6
1, 2, 7
3, 6, 1
6, 7, 4
3, 2, 4
3, 5, 12
0, 3, 2
7, 0, 2
2, 9, 3
3, 0, 8
1, 0, 3
3, 1, 4
4, 0, 1
7, 4, 2
7, 6, 3
8, 6, 10
9, 8, 4
9, 3, 6
5, 2, 5
0, 9, 7
5, 4, 5
9, 1, 6
5, 8, 1
3, 4, 10
8, 0, 6
7, 3, 2
2, 1, 6
8, 4, 4
4, 6, 10
1, 5, 2
1, 4, 2
4, 9, 2
8, 9, 9
5, 1, 6
1, 8, 8
3, 7, 3
6, 4, 3
7, 2, 0
5, 7, 5
0, 5, 0
1, 9, 4
0, 4, 2
5, 3, 6
0, 7, 6
8, 2, 5
4, 7, 10
6, 2, 6
3, 8, 7
9, 5, 5
8, 5, 4
1, 3, 2
2, 8, 4
9, 0, 4
6, 3, 2
6, 5, 2
2, 5, 12
7, 1, 4
4, 1, 4
4, 2, 6
8, 3, 7
2, 3, 8
6, 9, 6
2, 6, 10
0, 6, 5
7, 9, 2
5, 0, 3
9, 2, 3
4, 8, 5
6, 1, 5
6, 8, 6
0, 8, 5
1, 6, 2
3, 9, 4
6, 0, 3
2, 7, 7
5, 6, 7
1, 7, 5
7, 8, 1
4, 3, 5
7, 5, 4
2, 4, 7
9, 6, 9
