self, opp, fightsavoided
0, 4, 7
0, 3, 8
6, 2, 10
0, 9, 4
4, 5, 1
3, 9, 7
5, 1, 6
8, 2, 4
2, 9, 1
8, 5, 0
0, 2, 13
2, 5, 2
8, 6, 0
3, 6, 3
7, 6, 5
4, 6, 2
1, 4, 4
2, 6, 2
1, 6, 2
3, 0, 11
2, 4, 4
1, 8, 5
9, 6, 4
3, 5, 5
3, 4, 3
0, 7, 2
9, 1, 2
6, 5, 0
6, 3, 5
4, 3, 6
2, 3, 8
8, 0, 11
7, 4, 11
8, 7, 4
8, 3, 8
1, 0, 13
6, 9, 3
9, 0, 3
2, 1, 3
6, 8, 6
1, 9, 5
6, 7, 4
3, 8, 4
6, 1, 2
9, 8, 5
5, 0, 10
1, 2, 7
3, 1, 6
6, 0, 6
0, 8, 2
4, 1, 4
8, 9, 5
0, 6, 3
1, 3, 6
9, 5, 1
3, 7, 6
4, 9, 7
5, 2, 4
5, 3, 10
7, 1, 6
2, 0, 12
7, 2, 5
3, 2, 5
9, 4, 6
9, 7, 7
1, 7, 6
4, 0, 6
9, 3, 3
0, 1, 2
1, 5, 5
5, 7, 9
7, 3, 5
7, 8, 2
7, 5, 2
7, 9, 5
4, 7, 6
5, 8, 4
8, 1, 8
8, 4, 2
7, 0, 11
2, 8, 4
0, 5, 3
6, 4, 4
4, 8, 4
5, 6, 2
5, 4, 1
2, 7, 2
9, 2, 3
5, 9, 11
4, 2, 5
