winner, loser, victorycount
2, 4, 2
0, 5, 11
6, 9, 6
5, 6, 3
7, 4, 3
9, 5, 4
2, 8, 11
5, 9, 1
2, 0, 5
9, 6, 9
0, 7, 5
7, 5, 13
1, 9, 2
8, 7, 1
4, 5, 4
8, 6, 4
5, 2, 2
2, 9, 6
0, 3, 2
4, 9, 6
9, 1, 3
7, 3, 5
1, 5, 4
6, 1, 8
9, 4, 6
5, 8, 6
6, 8, 2
6, 0, 4
4, 2, 6
4, 8, 1
1, 7, 3
6, 4, 3
7, 2, 3
8, 0, 2
9, 2, 8
1, 8, 1
7, 9, 3
3, 9, 9
6, 5, 2
3, 8, 9
9, 0, 2
8, 9, 6
8, 5, 6
4, 3, 7
7, 1, 6
5, 7, 2
3, 5, 4
0, 8, 6
5, 1, 1
4, 1, 8
9, 3, 16
2, 1, 4
5, 4, 3
0, 9, 6
1, 3, 4
3, 0, 8
5, 0, 2
1, 0, 2
7, 0, 2
2, 5, 6
4, 0, 13
8, 4, 1
0, 4, 10
8, 2, 8
6, 7, 5
3, 7, 5
7, 6, 9
5, 3, 2
0, 1, 8
9, 8, 7
7, 8, 7
8, 1, 7
1, 4, 3
4, 6, 9
6, 2, 1
2, 6, 4
4, 7, 6
2, 3, 7
9, 7, 5
1, 6, 3
6, 3, 4
3, 4, 6
1, 2, 2
0, 6, 0
3, 1, 7
3, 6, 6
0, 2, 3
8, 3, 2
2, 7, 5
3, 2, 6
