approaching, opponent, attackcount
3, 4, 1
2, 8, 2
6, 5, 8
1, 6, 5
5, 9, 11
1, 2, 3
5, 6, 5
7, 4, 8
4, 2, 1
9, 3, 6
4, 9, 6
2, 9, 7
4, 5, 5
0, 7, 7
2, 3, 2
5, 8, 5
2, 1, 2
3, 5, 4
5, 0, 13
2, 6, 2
4, 0, 3
0, 4, 4
1, 8, 5
4, 7, 4
1, 0, 7
0, 9, 7
6, 2, 8
4, 3, 6
3, 7, 3
8, 9, 6
7, 3, 13
7, 6, 9
8, 3, 4
5, 7, 7
2, 4, 1
9, 6, 3
7, 1, 6
6, 7, 7
9, 1, 4
3, 8, 2
2, 5, 4
0, 8, 5
6, 1, 6
7, 2, 7
1, 5, 8
2, 0, 5
6, 3, 8
0, 2, 8
0, 5, 5
3, 0, 3
9, 2, 5
6, 8, 0
0, 3, 8
1, 4, 6
6, 4, 3
3, 1, 1
1, 9, 1
8, 5, 3
9, 0, 3
8, 7, 2
2, 7, 5
1, 3, 1
5, 1, 10
4, 1, 7
5, 4, 5
3, 2, 4
8, 0, 3
8, 1, 4
7, 5, 6
3, 9, 6
5, 2, 5
1, 7, 2
0, 1, 5
3, 6, 6
9, 8, 8
5, 3, 4
6, 0, 3
9, 5, 7
7, 0, 8
7, 8, 6
4, 8, 2
0, 6, 3
8, 6, 2
9, 7, 4
8, 4, 3
9, 4, 7
6, 9, 10
8, 2, 3
7, 9, 6
4, 6, 2
