self, opp, fightsavoided
1, 0, 7
1, 7, 8
3, 5, 0
1, 6, 0
7, 0, 1
8, 4, 1
6, 5, 2
0, 1, 9
4, 1, 6
8, 9, 1
8, 7, 3
2, 9, 0
5, 6, 2
8, 0, 2
5, 4, 4
3, 4, 3
4, 6, 2
0, 8, 8
9, 3, 9
5, 9, 3
8, 1, 2
1, 5, 1
4, 9, 3
7, 1, 7
5, 1, 8
1, 8, 5
6, 7, 9
6, 3, 6
3, 1, 7
2, 5, 0
7, 9, 3
6, 9, 6
5, 8, 20
2, 0, 4
1, 2, 6
9, 6, 4
3, 2, 12
9, 5, 4
0, 2, 16
2, 3, 6
4, 3, 4
2, 7, 2
8, 5, 0
3, 9, 3
2, 6, 0
9, 7, 1
6, 0, 2
5, 0, 7
4, 5, 5
7, 3, 4
1, 9, 3
0, 3, 5
8, 6, 0
8, 3, 4
0, 4, 2
7, 5, 1
9, 2, 6
7, 4, 0
6, 2, 13
4, 8, 9
2, 4, 1
5, 2, 13
9, 8, 17
6, 4, 3
2, 1, 3
0, 5, 1
9, 4, 5
0, 6, 1
4, 0, 9
5, 7, 4
6, 8, 9
1, 4, 2
9, 1, 7
0, 7, 2
3, 7, 17
5, 3, 1
7, 6, 0
7, 2, 13
4, 2, 5
3, 6, 3
8, 2, 13
2, 8, 3
6, 1, 5
4, 7, 9
0, 9, 0
7, 8, 3
3, 8, 18
3, 0, 4
9, 0, 4
1, 3, 4
