winner, loser, victorycount
1, 3, 8
5, 9, 1
3, 6, 2
0, 3, 8
4, 5, 11
6, 0, 0
4, 0, 5
1, 6, 6
4, 3, 11
6, 4, 1
2, 6, 8
1, 7, 4
4, 8, 9
9, 8, 8
0, 9, 4
7, 0, 6
2, 4, 1
7, 8, 9
1, 5, 4
0, 8, 3
5, 6, 1
8, 6, 2
5, 1, 0
6, 3, 13
0, 1, 10
9, 5, 8
3, 4, 0
7, 9, 5
2, 8, 6
3, 0, 1
5, 4, 0
8, 2, 2
2, 0, 4
2, 9, 4
6, 9, 3
8, 0, 1
4, 6, 6
1, 4, 6
1, 2, 4
0, 5, 9
7, 6, 7
6, 5, 4
2, 5, 5
6, 2, 2
8, 4, 3
7, 3, 8
0, 2, 11
9, 1, 10
3, 9, 0
1, 0, 9
1, 8, 6
5, 0, 0
4, 7, 1
0, 6, 14
6, 1, 7
3, 8, 2
3, 5, 3
5, 2, 0
2, 3, 13
8, 7, 2
9, 3, 7
9, 0, 4
7, 5, 12
8, 9, 0
3, 2, 1
9, 7, 11
7, 1, 12
7, 2, 5
8, 1, 2
4, 1, 5
5, 7, 0
6, 7, 2
7, 4, 10
9, 4, 10
4, 2, 8
8, 5, 7
3, 1, 0
9, 6, 13
2, 7, 5
4, 9, 4
0, 7, 1
5, 8, 1
5, 3, 2
3, 7, 0
2, 1, 4
6, 8, 5
0, 4, 4
8, 3, 4
1, 9, 4
9, 2, 6
