approaching, opponent, attackcount
5, 2, 2
1, 0, 0
0, 2, 1
9, 2, 4
3, 1, 8
2, 7, 2
7, 8, 15
8, 6, 0
6, 1, 4
2, 8, 21
3, 5, 0
8, 9, 1
1, 5, 1
3, 4, 2
6, 3, 0
9, 5, 4
5, 3, 1
8, 4, 0
4, 9, 4
3, 9, 5
0, 5, 4
5, 7, 2
6, 7, 5
9, 7, 2
6, 8, 12
4, 5, 9
9, 3, 3
2, 6, 5
2, 9, 9
7, 5, 6
0, 4, 3
8, 5, 0
1, 8, 4
4, 7, 5
7, 0, 4
8, 1, 1
7, 2, 1
8, 2, 0
4, 0, 6
8, 3, 2
0, 9, 4
0, 7, 4
0, 6, 2
5, 6, 6
3, 8, 20
0, 1, 16
7, 1, 22
1, 4, 2
7, 4, 2
2, 0, 2
4, 2, 3
9, 6, 3
2, 5, 5
8, 0, 0
4, 1, 16
9, 0, 2
9, 8, 14
3, 0, 5
8, 7, 0
4, 6, 9
7, 6, 14
6, 9, 4
2, 4, 0
6, 0, 0
1, 9, 1
5, 8, 18
1, 7, 2
1, 6, 0
7, 3, 2
1, 2, 0
5, 4, 2
5, 1, 8
6, 4, 1
0, 8, 29
3, 7, 3
6, 5, 1
7, 9, 7
5, 9, 0
6, 2, 0
9, 1, 5
2, 1, 18
3, 2, 1
3, 6, 5
9, 4, 2
4, 3, 1
0, 3, 2
2, 3, 4
1, 3, 1
4, 8, 23
5, 0, 1
