self, opp, fightsavoided
2, 7, 8
6, 4, 1
8, 1, 10
0, 4, 1
7, 2, 6
1, 5, 6
4, 5, 6
7, 1, 2
2, 0, 2
6, 5, 5
4, 2, 8
6, 0, 6
5, 3, 1
4, 7, 3
5, 6, 1
2, 8, 12
7, 0, 2
4, 1, 5
8, 2, 3
2, 3, 4
8, 5, 3
6, 2, 7
5, 2, 10
3, 9, 4
0, 8, 2
8, 6, 5
3, 8, 4
8, 7, 6
8, 9, 3
3, 4, 0
2, 6, 5
9, 8, 6
2, 4, 0
7, 3, 9
1, 0, 2
6, 3, 8
8, 4, 0
6, 1, 7
8, 3, 0
5, 8, 8
7, 9, 4
3, 0, 11
1, 9, 1
0, 3, 9
3, 7, 9
3, 6, 2
7, 4, 0
6, 9, 3
9, 0, 7
9, 6, 12
2, 5, 8
5, 9, 3
9, 3, 3
7, 6, 9
0, 6, 6
2, 1, 10
1, 6, 7
6, 7, 4
9, 5, 2
1, 3, 7
9, 4, 0
0, 9, 6
5, 4, 3
9, 1, 4
4, 8, 15
3, 1, 8
0, 5, 8
7, 8, 5
0, 7, 5
1, 8, 5
5, 7, 7
3, 5, 2
4, 0, 7
4, 3, 7
3, 2, 7
7, 5, 0
4, 6, 7
8, 0, 2
5, 0, 4
1, 7, 5
0, 2, 3
4, 9, 4
5, 1, 6
1, 2, 11
6, 8, 3
9, 2, 5
2, 9, 1
9, 7, 6
0, 1, 4
1, 4, 2
