winner, loser, victorycount
5, 4, 10
9, 6, 7
4, 2, 5
3, 0, 22
3, 9, 0
8, 3, 0
3, 6, 3
0, 5, 0
4, 8, 0
7, 1, 3
7, 9, 0
4, 1, 2
3, 5, 0
0, 8, 0
6, 4, 6
2, 6, 0
0, 9, 0
9, 5, 3
7, 3, 0
8, 1, 12
9, 2, 18
1, 5, 0
0, 7, 0
1, 7, 2
7, 8, 0
3, 2, 14
9, 1, 12
1, 2, 9
6, 8, 6
9, 8, 8
6, 0, 26
2, 4, 0
1, 6, 0
6, 5, 0
0, 3, 0
5, 6, 5
7, 6, 0
3, 4, 5
0, 6, 0
6, 1, 5
5, 7, 16
6, 7, 14
1, 8, 0
2, 9, 0
4, 3, 0
5, 0, 18
7, 0, 5
2, 7, 0
8, 4, 3
5, 8, 10
9, 3, 6
1, 9, 0
8, 5, 0
8, 9, 0
6, 2, 13
0, 1, 0
4, 6, 0
8, 2, 6
7, 2, 4
2, 0, 5
7, 5, 0
5, 3, 9
5, 1, 17
2, 8, 0
1, 0, 9
2, 3, 0
0, 4, 0
8, 6, 0
6, 9, 0
1, 4, 4
8, 0, 11
3, 7, 8
5, 9, 4
7, 4, 0
6, 3, 1
4, 9, 0
9, 7, 12
3, 1, 8
4, 5, 0
8, 7, 2
0, 2, 1
4, 7, 4
9, 0, 16
2, 1, 0
9, 4, 15
2, 5, 0
5, 2, 28
3, 8, 9
4, 0, 9
1, 3, 0
