approaching, opponent, attackcount
6, 9, 8
2, 1, 4
1, 0, 1
4, 5, 25
2, 8, 5
8, 4, 3
8, 3, 6
1, 9, 1
0, 9, 2
8, 5, 24
9, 4, 1
6, 7, 0
5, 6, 2
8, 0, 5
1, 4, 2
4, 1, 2
5, 7, 2
0, 3, 4
7, 5, 33
2, 3, 6
6, 4, 1
4, 9, 6
6, 1, 2
4, 6, 7
7, 0, 1
9, 6, 5
8, 7, 3
3, 2, 2
3, 0, 2
3, 5, 14
3, 7, 2
1, 8, 2
6, 5, 19
5, 8, 1
9, 8, 5
0, 2, 3
2, 9, 2
8, 1, 5
7, 3, 13
5, 3, 2
9, 2, 2
4, 2, 5
9, 5, 21
9, 0, 2
3, 1, 1
0, 7, 0
4, 3, 8
2, 0, 4
6, 3, 6
7, 4, 5
0, 4, 3
9, 3, 4
9, 7, 2
4, 7, 4
2, 6, 5
2, 5, 19
1, 6, 2
9, 1, 4
6, 2, 3
0, 6, 3
8, 6, 1
1, 7, 2
7, 8, 4
4, 0, 4
0, 1, 4
3, 6, 0
1, 5, 15
7, 6, 6
2, 7, 3
5, 9, 0
0, 5, 30
3, 4, 1
7, 1, 3
3, 8, 0
3, 9, 3
5, 0, 0
4, 8, 3
6, 8, 4
7, 2, 2
8, 2, 4
2, 4, 0
6, 0, 2
7, 9, 5
1, 2, 1
5, 2, 1
5, 1, 0
1, 3, 10
8, 9, 2
0, 8, 3
5, 4, 1
