self, opp, fightsavoided
5, 4, 4
7, 5, 0
2, 5, 1
9, 2, 3
3, 6, 4
5, 8, 10
9, 8, 6
0, 3, 3
4, 3, 6
5, 0, 4
2, 0, 2
2, 6, 2
7, 9, 8
1, 7, 11
6, 3, 8
1, 9, 4
8, 6, 9
3, 5, 0
2, 4, 8
5, 9, 5
2, 9, 5
8, 7, 8
6, 2, 3
9, 5, 0
6, 1, 2
7, 4, 3
4, 5, 1
6, 9, 3
2, 3, 3
1, 4, 6
4, 9, 0
2, 8, 4
8, 9, 2
8, 2, 4
6, 8, 8
6, 7, 5
6, 0, 5
6, 4, 6
1, 3, 7
5, 1, 5
3, 2, 3
8, 4, 7
9, 7, 2
6, 5, 2
3, 1, 7
0, 8, 11
9, 6, 7
7, 6, 4
4, 0, 3
7, 0, 10
9, 3, 8
0, 1, 0
5, 3, 3
9, 1, 8
0, 2, 2
1, 0, 6
1, 6, 7
0, 9, 9
5, 7, 3
3, 9, 8
4, 1, 5
5, 6, 5
8, 0, 6
4, 2, 11
1, 5, 3
2, 7, 5
0, 5, 1
5, 2, 3
3, 0, 5
0, 4, 9
4, 7, 6
9, 4, 9
0, 7, 7
9, 0, 5
7, 8, 7
1, 8, 5
8, 1, 3
2, 1, 6
3, 8, 8
4, 6, 9
3, 4, 4
1, 2, 7
7, 2, 4
7, 3, 3
8, 3, 2
0, 6, 5
4, 8, 8
8, 5, 2
3, 7, 6
7, 1, 3
