winner, loser, victorycount
7, 6, 0
5, 7, 18
5, 8, 2
2, 3, 1
6, 5, 6
1, 5, 1
9, 0, 2
5, 2, 10
9, 3, 2
0, 2, 6
1, 7, 5
4, 8, 4
0, 4, 0
8, 1, 25
2, 0, 0
4, 9, 5
5, 0, 3
8, 7, 15
8, 9, 8
3, 7, 9
3, 5, 2
1, 3, 1
7, 0, 5
4, 2, 9
0, 6, 4
0, 3, 7
6, 9, 5
4, 1, 13
7, 2, 3
6, 7, 10
0, 5, 10
2, 6, 1
2, 9, 1
4, 3, 9
7, 1, 3
2, 8, 1
4, 5, 2
1, 9, 5
9, 4, 5
3, 1, 9
8, 5, 4
4, 7, 7
5, 1, 12
5, 4, 2
9, 5, 4
6, 3, 3
8, 2, 7
3, 4, 2
5, 6, 2
1, 8, 0
1, 0, 0
9, 8, 1
2, 4, 0
5, 3, 2
8, 6, 3
0, 7, 17
1, 2, 4
0, 9, 10
6, 1, 12
6, 2, 11
4, 0, 4
8, 0, 3
9, 2, 10
8, 3, 4
3, 8, 2
0, 1, 22
7, 9, 1
6, 0, 0
7, 5, 3
2, 1, 1
3, 0, 2
9, 1, 6
8, 4, 4
7, 8, 1
6, 8, 1
4, 6, 0
6, 4, 7
3, 2, 13
3, 6, 4
9, 6, 2
0, 8, 2
2, 7, 0
1, 6, 0
9, 7, 4
2, 5, 3
7, 3, 2
5, 9, 9
1, 4, 4
7, 4, 2
3, 9, 4
