approaching, opponent, attackcount
0, 5, 0
4, 5, 1
5, 2, 8
1, 8, 0
3, 2, 0
2, 1, 4
3, 4, 3
4, 9, 0
4, 3, 14
7, 8, 1
6, 4, 6
4, 2, 1
6, 0, 20
4, 1, 4
6, 5, 3
7, 4, 2
1, 5, 0
1, 3, 14
8, 4, 4
1, 0, 2
6, 7, 2
1, 9, 0
1, 4, 2
8, 1, 7
8, 7, 3
7, 5, 2
2, 9, 0
2, 3, 15
1, 6, 1
0, 8, 1
9, 6, 1
7, 6, 3
6, 9, 1
8, 2, 3
3, 0, 1
2, 7, 0
5, 7, 3
6, 8, 1
5, 8, 3
7, 0, 19
1, 7, 0
7, 3, 22
9, 3, 24
7, 1, 11
3, 9, 0
0, 6, 0
2, 5, 1
6, 1, 15
6, 3, 30
2, 6, 1
0, 2, 1
5, 9, 1
3, 6, 3
9, 7, 0
5, 0, 21
5, 4, 1
8, 3, 11
0, 3, 8
9, 8, 2
5, 1, 12
0, 7, 0
2, 8, 1
8, 9, 3
2, 4, 1
4, 8, 3
5, 3, 27
3, 1, 0
9, 4, 1
4, 0, 7
0, 1, 2
2, 0, 5
8, 6, 1
9, 2, 5
5, 6, 1
8, 5, 1
0, 4, 0
1, 2, 0
4, 7, 0
6, 2, 8
7, 2, 11
3, 8, 1
9, 1, 8
4, 6, 5
7, 9, 2
8, 0, 13
9, 0, 20
0, 9, 1
9, 5, 3
3, 5, 1
3, 7, 0
