self, opp, fightsavoided
5, 6, 5
2, 7, 3
6, 1, 5
4, 3, 5
2, 1, 4
1, 3, 3
0, 5, 0
3, 6, 3
5, 9, 7
8, 1, 8
1, 9, 2
2, 5, 0
7, 0, 4
3, 7, 3
4, 9, 4
1, 0, 6
6, 0, 3
0, 3, 0
0, 2, 4
7, 4, 8
8, 7, 2
8, 0, 4
2, 6, 2
5, 4, 6
4, 5, 1
0, 6, 4
0, 7, 4
2, 4, 11
6, 2, 7
6, 7, 6
9, 7, 3
1, 8, 12
9, 8, 8
2, 9, 7
6, 4, 6
3, 0, 8
6, 5, 0
6, 8, 2
0, 4, 4
7, 5, 0
1, 6, 6
4, 7, 8
5, 7, 5
5, 3, 8
9, 3, 1
4, 2, 8
9, 2, 7
6, 3, 1
4, 0, 3
5, 0, 3
7, 1, 7
1, 5, 1
9, 5, 0
9, 4, 5
7, 3, 6
7, 6, 2
6, 9, 3
7, 8, 6
1, 4, 10
1, 7, 5
8, 5, 0
9, 0, 2
1, 2, 7
5, 2, 4
8, 3, 2
3, 8, 10
0, 9, 8
3, 9, 7
5, 1, 7
3, 5, 5
5, 8, 10
3, 1, 6
3, 2, 9
7, 2, 2
2, 3, 2
4, 6, 8
2, 8, 4
9, 1, 1
4, 8, 9
8, 9, 14
4, 1, 10
0, 1, 4
8, 6, 11
8, 4, 6
3, 4, 2
2, 0, 4
8, 2, 3
0, 8, 9
9, 6, 6
7, 9, 9
