winner, loser, victorycount
6, 4, 6
4, 5, 2
1, 0, 1
1, 8, 15
9, 2, 2
0, 7, 4
3, 2, 0
8, 3, 2
0, 6, 11
1, 5, 3
9, 4, 4
1, 3, 12
6, 2, 2
3, 1, 1
0, 1, 1
2, 3, 10
3, 5, 3
4, 3, 2
7, 9, 14
5, 1, 4
8, 9, 3
1, 4, 20
2, 6, 9
2, 7, 0
5, 0, 2
1, 6, 10
5, 8, 18
9, 8, 4
7, 6, 5
4, 7, 2
7, 0, 1
7, 8, 8
2, 1, 2
9, 7, 2
0, 2, 1
5, 9, 11
7, 2, 4
7, 1, 2
4, 1, 1
2, 4, 13
6, 8, 5
8, 4, 2
5, 3, 8
7, 4, 11
2, 9, 10
6, 7, 3
7, 5, 3
1, 9, 10
0, 9, 11
2, 8, 15
3, 9, 2
6, 1, 1
6, 5, 1
9, 3, 1
9, 1, 2
5, 4, 16
0, 8, 24
5, 2, 5
6, 0, 2
3, 6, 2
0, 4, 16
8, 0, 2
3, 8, 4
9, 6, 2
2, 5, 3
9, 0, 3
6, 3, 0
8, 6, 3
8, 5, 1
2, 0, 2
0, 3, 12
3, 7, 1
8, 2, 1
0, 5, 1
4, 2, 0
8, 1, 0
4, 9, 1
3, 4, 6
4, 6, 0
4, 0, 0
3, 0, 1
4, 8, 4
6, 9, 2
9, 5, 3
7, 3, 7
5, 7, 4
8, 7, 2
1, 2, 4
1, 7, 2
5, 6, 12
