approaching, opponent, attackcount
0, 9, 5
6, 2, 3
6, 7, 4
0, 1, 4
9, 7, 4
5, 8, 8
6, 1, 4
3, 9, 8
2, 0, 5
0, 5, 6
0, 3, 2
2, 4, 3
0, 2, 5
3, 6, 2
1, 3, 2
8, 4, 3
4, 0, 7
3, 5, 2
5, 6, 4
5, 1, 4
2, 3, 5
4, 1, 5
3, 4, 5
1, 4, 7
7, 8, 5
2, 5, 8
4, 8, 3
8, 6, 6
1, 6, 5
3, 7, 6
3, 0, 2
7, 5, 7
9, 2, 4
0, 7, 6
1, 2, 8
1, 0, 3
5, 9, 5
2, 1, 7
3, 2, 3
6, 0, 4
4, 9, 5
1, 7, 0
8, 9, 4
4, 5, 2
2, 7, 4
6, 4, 5
7, 1, 4
7, 2, 3
9, 1, 4
3, 1, 6
5, 3, 3
3, 8, 4
0, 6, 4
7, 6, 9
6, 9, 4
8, 1, 7
4, 2, 7
8, 3, 5
1, 5, 6
6, 8, 7
7, 0, 7
8, 0, 3
0, 8, 6
9, 5, 11
0, 4, 7
7, 9, 8
2, 8, 5
7, 4, 6
8, 2, 2
2, 9, 3
4, 6, 2
7, 3, 5
8, 5, 9
9, 0, 9
2, 6, 7
6, 3, 4
4, 7, 6
5, 0, 4
5, 2, 7
5, 4, 4
9, 8, 4
4, 3, 5
6, 5, 7
8, 7, 8
1, 8, 4
9, 6, 3
1, 9, 10
9, 3, 3
9, 4, 1
5, 7, 9
