self, opp, fightsavoided
7, 1, 2
0, 9, 6
6, 1, 10
9, 5, 5
9, 6, 4
3, 5, 13
6, 4, 5
7, 8, 4
7, 2, 7
5, 8, 6
9, 0, 6
1, 9, 2
5, 2, 5
5, 1, 0
3, 8, 1
4, 0, 3
0, 3, 4
4, 8, 3
7, 9, 7
7, 6, 3
6, 3, 2
3, 0, 3
3, 4, 3
3, 9, 5
1, 6, 1
4, 6, 9
8, 7, 8
9, 3, 8
3, 2, 7
9, 1, 8
3, 7, 4
6, 0, 3
5, 9, 2
8, 5, 6
8, 2, 5
3, 6, 3
9, 7, 2
4, 7, 2
7, 0, 6
8, 3, 2
8, 9, 9
4, 3, 2
2, 1, 2
1, 0, 3
7, 5, 1
6, 7, 8
0, 7, 4
8, 6, 2
6, 5, 5
5, 6, 5
5, 3, 5
1, 4, 3
4, 5, 3
7, 4, 5
0, 6, 3
9, 8, 6
0, 1, 6
0, 2, 7
1, 3, 4
9, 4, 8
6, 8, 5
2, 6, 5
2, 0, 9
0, 4, 7
4, 1, 1
5, 7, 5
7, 3, 7
2, 8, 11
1, 2, 7
8, 0, 5
1, 7, 4
8, 4, 2
5, 0, 8
6, 9, 9
0, 8, 2
3, 1, 8
4, 2, 11
0, 5, 1
2, 5, 9
2, 7, 3
9, 2, 2
2, 4, 2
1, 8, 5
8, 1, 11
5, 4, 1
6, 2, 11
4, 9, 5
2, 9, 6
2, 3, 7
1, 5, 5
