winner, loser, victorycount
6, 2, 8
3, 0, 6
3, 5, 3
2, 5, 2
6, 9, 3
3, 2, 6
1, 3, 6
9, 5, 4
9, 8, 7
4, 8, 7
7, 6, 3
5, 7, 5
1, 9, 4
0, 5, 7
5, 9, 8
9, 1, 2
1, 7, 5
7, 4, 9
9, 6, 2
5, 2, 5
3, 1, 7
2, 3, 8
6, 5, 8
1, 0, 5
4, 5, 7
4, 3, 3
6, 3, 4
1, 4, 9
2, 9, 6
7, 2, 4
6, 4, 7
1, 2, 2
5, 3, 2
0, 7, 7
8, 4, 7
3, 7, 7
8, 3, 2
8, 7, 4
0, 2, 2
7, 5, 3
2, 8, 2
6, 0, 6
4, 7, 4
7, 0, 2
8, 6, 4
4, 6, 3
8, 2, 3
7, 1, 4
9, 3, 1
1, 5, 7
4, 2, 17
7, 9, 7
7, 8, 4
1, 8, 3
8, 1, 5
8, 0, 5
4, 0, 5
6, 7, 2
0, 1, 7
9, 7, 5
2, 4, 7
2, 0, 2
5, 0, 11
9, 4, 5
4, 1, 3
8, 9, 1
4, 9, 5
9, 2, 4
1, 6, 4
9, 0, 1
3, 6, 7
2, 1, 4
0, 4, 6
5, 4, 10
3, 9, 5
0, 8, 8
0, 6, 6
7, 3, 5
0, 9, 3
6, 8, 5
3, 8, 1
8, 5, 4
5, 8, 5
0, 3, 4
6, 1, 4
2, 7, 10
5, 1, 4
2, 6, 7
5, 6, 4
3, 4, 3
