approaching, opponent, attackcount
6, 3, 9
4, 3, 4
6, 7, 2
7, 2, 4
4, 0, 3
5, 8, 4
1, 4, 2
0, 5, 5
3, 7, 2
4, 6, 3
9, 8, 5
7, 4, 4
8, 6, 3
6, 0, 5
1, 2, 8
1, 6, 6
5, 6, 4
5, 0, 2
8, 9, 5
4, 9, 4
4, 5, 4
6, 1, 9
7, 9, 2
3, 5, 3
8, 4, 3
0, 9, 2
6, 2, 3
0, 3, 2
6, 8, 1
7, 8, 8
1, 8, 5
0, 6, 12
2, 9, 4
4, 2, 2
0, 8, 6
2, 3, 4
2, 4, 4
6, 9, 3
3, 2, 5
5, 9, 11
9, 0, 4
0, 1, 7
5, 7, 8
3, 4, 3
6, 5, 9
5, 4, 4
1, 3, 4
2, 6, 2
1, 5, 5
7, 1, 5
3, 6, 8
9, 3, 7
7, 0, 4
5, 1, 4
9, 7, 7
4, 8, 7
8, 2, 7
9, 1, 7
8, 0, 3
2, 0, 6
0, 4, 6
8, 1, 6
5, 3, 7
9, 2, 5
2, 8, 11
9, 4, 6
2, 5, 6
1, 9, 5
3, 8, 4
3, 9, 6
8, 5, 2
9, 6, 3
3, 1, 2
9, 5, 5
8, 7, 2
7, 6, 9
4, 7, 7
3, 0, 6
2, 7, 8
8, 3, 1
6, 4, 5
1, 0, 5
1, 7, 4
4, 1, 8
0, 2, 6
7, 5, 7
7, 3, 5
0, 7, 7
5, 2, 7
2, 1, 1
