self, opp, fightsavoided
9, 1, 7
5, 8, 0
3, 2, 13
6, 4, 6
1, 8, 9
4, 2, 2
0, 5, 4
7, 5, 6
9, 0, 14
6, 9, 14
3, 8, 8
3, 5, 6
0, 7, 6
0, 1, 2
3, 9, 3
4, 8, 4
0, 8, 5
2, 9, 5
2, 6, 8
6, 2, 6
1, 9, 9
8, 2, 4
8, 6, 6
3, 1, 3
2, 5, 4
9, 2, 7
6, 5, 3
7, 2, 3
1, 3, 8
4, 5, 4
2, 3, 11
5, 3, 1
5, 4, 4
9, 3, 4
5, 6, 0
9, 6, 5
1, 4, 7
2, 7, 4
7, 0, 5
8, 5, 5
2, 0, 3
4, 6, 2
1, 6, 4
6, 7, 1
7, 8, 4
2, 4, 0
8, 3, 6
1, 2, 9
8, 0, 7
3, 6, 3
3, 4, 6
2, 8, 4
8, 9, 9
3, 0, 3
6, 1, 11
0, 6, 2
4, 7, 4
4, 1, 6
1, 5, 0
7, 3, 4
0, 9, 5
4, 0, 3
4, 9, 4
7, 1, 6
9, 8, 3
9, 7, 3
0, 4, 2
5, 7, 7
6, 8, 5
4, 3, 9
1, 0, 2
9, 4, 7
2, 1, 0
7, 6, 3
3, 7, 5
9, 5, 13
5, 2, 6
0, 3, 2
6, 3, 4
8, 4, 5
7, 9, 3
6, 0, 3
1, 7, 6
5, 9, 2
5, 0, 5
7, 4, 3
8, 1, 5
5, 1, 9
0, 2, 1
8, 7, 6
