winner, loser, victorycount
0, 4, 3
3, 0, 6
3, 5, 2
2, 4, 5
5, 3, 8
8, 7, 4
2, 6, 2
8, 0, 3
8, 3, 4
6, 2, 6
6, 0, 2
7, 4, 7
1, 0, 5
7, 0, 8
2, 7, 4
6, 3, 6
6, 7, 8
8, 5, 1
3, 4, 7
4, 8, 8
3, 9, 4
1, 8, 6
5, 8, 6
1, 9, 2
2, 3, 6
4, 9, 7
3, 6, 5
4, 5, 2
0, 6, 8
4, 7, 4
0, 2, 6
8, 4, 5
7, 6, 2
4, 2, 5
0, 5, 3
7, 8, 0
8, 9, 6
9, 2, 3
4, 6, 6
1, 4, 3
5, 9, 12
9, 6, 9
6, 9, 8
2, 5, 7
6, 5, 7
0, 8, 4
5, 6, 9
3, 7, 5
9, 0, 4
9, 7, 10
9, 8, 4
6, 1, 5
3, 1, 8
3, 8, 5
7, 3, 2
8, 2, 4
8, 6, 5
0, 1, 4
0, 9, 2
9, 1, 5
6, 4, 4
4, 0, 5
1, 2, 5
9, 5, 8
2, 0, 9
5, 2, 7
4, 3, 4
2, 1, 5
2, 8, 3
7, 5, 2
9, 3, 7
2, 9, 3
5, 4, 3
7, 2, 3
1, 5, 6
9, 4, 5
7, 1, 5
8, 1, 3
5, 0, 5
6, 8, 6
5, 7, 4
1, 3, 6
4, 1, 5
0, 3, 3
0, 7, 3
7, 9, 10
1, 7, 5
5, 1, 2
1, 6, 3
3, 2, 4
