approaching, opponent, attackcount
1, 7, 7
6, 9, 6
8, 4, 8
2, 4, 5
9, 8, 10
5, 8, 5
9, 6, 4
2, 1, 6
7, 3, 8
4, 2, 3
5, 9, 3
2, 8, 5
9, 3, 3
5, 0, 6
2, 9, 5
4, 6, 10
4, 0, 4
8, 3, 4
1, 9, 12
6, 2, 5
8, 1, 10
2, 3, 5
1, 0, 1
3, 2, 4
7, 1, 9
4, 7, 4
6, 8, 1
3, 6, 1
6, 4, 5
8, 0, 4
8, 7, 3
9, 0, 6
5, 3, 4
9, 2, 3
8, 6, 4
1, 6, 3
2, 5, 3
6, 5, 5
1, 3, 4
7, 0, 5
3, 1, 7
9, 7, 6
4, 3, 3
4, 5, 5
8, 5, 3
0, 6, 4
0, 2, 4
7, 4, 5
5, 2, 3
6, 1, 9
6, 0, 1
3, 5, 4
2, 6, 5
1, 4, 3
0, 5, 1
4, 1, 1
0, 4, 5
9, 4, 0
9, 5, 8
3, 9, 6
6, 7, 4
8, 9, 3
5, 7, 8
1, 2, 7
5, 1, 6
7, 9, 10
0, 1, 5
0, 7, 9
3, 7, 8
3, 8, 2
3, 4, 7
0, 8, 3
6, 3, 6
0, 3, 4
3, 0, 4
2, 7, 10
9, 1, 3
8, 2, 4
0, 9, 4
5, 4, 1
2, 0, 5
1, 8, 5
5, 6, 6
7, 8, 7
4, 8, 5
7, 2, 8
7, 5, 5
7, 6, 6
4, 9, 5
1, 5, 4
