winner, loser, victorycount
0, 8, 1
7, 6, 3
5, 8, 4
3, 6, 3
2, 0, 2
8, 9, 2
2, 3, 10
1, 9, 3
5, 2, 4
1, 3, 6
5, 6, 3
2, 7, 7
1, 2, 6
8, 0, 6
5, 3, 4
3, 1, 3
5, 9, 9
8, 5, 4
7, 4, 7
2, 4, 6
7, 9, 3
2, 8, 6
2, 9, 5
8, 7, 3
7, 0, 6
9, 2, 6
2, 6, 8
0, 9, 8
4, 1, 5
8, 3, 3
4, 5, 13
1, 6, 2
8, 6, 3
6, 9, 4
8, 2, 2
0, 6, 3
6, 0, 8
9, 5, 4
5, 0, 8
6, 4, 11
5, 1, 5
0, 7, 6
7, 8, 8
6, 2, 4
3, 4, 5
3, 5, 4
9, 4, 9
5, 7, 11
9, 7, 4
3, 0, 5
8, 4, 5
7, 5, 5
6, 3, 7
4, 9, 4
4, 8, 5
9, 6, 3
9, 8, 6
6, 1, 3
0, 3, 7
3, 7, 6
7, 2, 7
6, 8, 5
9, 1, 1
5, 4, 6
1, 4, 6
3, 8, 6
8, 1, 4
6, 5, 4
2, 1, 3
1, 8, 5
4, 3, 3
7, 3, 10
7, 1, 2
2, 5, 6
9, 0, 3
1, 7, 2
3, 9, 5
0, 4, 6
3, 2, 4
0, 5, 8
1, 5, 1
4, 0, 4
4, 2, 3
0, 1, 8
6, 7, 1
0, 2, 5
4, 7, 6
1, 0, 1
4, 6, 5
9, 3, 4
