approaching, opponent, attackcount
3, 8, 2
5, 9, 5
6, 7, 5
3, 0, 9
3, 6, 6
9, 4, 1
2, 6, 4
2, 7, 2
2, 1, 5
2, 8, 8
5, 4, 1
4, 1, 4
7, 8, 4
0, 1, 3
8, 4, 11
3, 2, 4
1, 6, 2
0, 4, 6
5, 0, 11
6, 4, 5
5, 2, 5
7, 9, 2
1, 4, 5
8, 3, 6
2, 3, 4
3, 7, 3
7, 1, 5
9, 8, 10
8, 2, 6
8, 9, 7
6, 1, 4
9, 6, 5
6, 9, 4
6, 2, 5
4, 6, 5
0, 5, 3
4, 8, 3
0, 8, 7
9, 3, 8
6, 3, 12
4, 7, 2
5, 3, 3
8, 1, 7
4, 0, 7
0, 9, 4
8, 5, 8
5, 7, 2
9, 2, 7
0, 3, 6
0, 6, 7
5, 6, 6
8, 0, 5
7, 4, 6
2, 5, 4
3, 5, 11
3, 1, 2
8, 7, 11
7, 5, 5
7, 2, 1
9, 0, 5
1, 8, 3
1, 0, 4
4, 2, 8
2, 4, 5
2, 0, 5
1, 2, 1
9, 7, 4
6, 0, 7
3, 4, 4
4, 3, 4
5, 1, 5
9, 1, 3
7, 6, 8
6, 5, 4
1, 9, 5
4, 9, 4
1, 5, 3
4, 5, 7
0, 2, 3
1, 3, 4
1, 7, 4
5, 8, 2
7, 3, 6
6, 8, 2
0, 7, 3
9, 5, 3
2, 9, 10
3, 9, 3
7, 0, 4
8, 6, 6
