self, opp, fightsavoided
1, 4, 7
3, 5, 3
1, 2, 5
3, 6, 6
2, 3, 2
9, 0, 2
8, 6, 6
4, 6, 8
2, 4, 7
0, 7, 4
7, 4, 4
0, 5, 7
6, 8, 8
2, 6, 10
3, 8, 1
3, 1, 7
1, 5, 3
2, 0, 5
5, 6, 2
7, 1, 5
5, 3, 6
0, 1, 4
3, 0, 5
1, 9, 4
0, 9, 5
4, 9, 2
8, 7, 5
4, 5, 4
8, 9, 3
5, 0, 3
5, 4, 7
2, 9, 4
9, 2, 7
1, 7, 7
0, 8, 11
6, 1, 5
2, 8, 8
8, 1, 5
7, 9, 9
5, 2, 1
0, 3, 0
1, 3, 6
7, 6, 9
0, 2, 6
4, 0, 4
9, 8, 3
2, 7, 0
9, 4, 7
9, 7, 2
9, 5, 3
3, 2, 2
0, 6, 7
8, 2, 9
7, 3, 6
5, 7, 1
1, 6, 2
3, 9, 9
4, 7, 3
5, 9, 2
4, 3, 10
3, 4, 7
6, 3, 6
3, 7, 3
6, 7, 5
6, 4, 2
7, 2, 6
4, 8, 2
8, 0, 6
6, 5, 3
7, 5, 8
4, 2, 1
7, 0, 5
1, 0, 3
2, 1, 9
4, 1, 3
8, 3, 5
5, 1, 6
8, 4, 7
2, 5, 6
8, 5, 10
9, 3, 10
6, 2, 7
6, 0, 6
7, 8, 6
6, 9, 2
1, 8, 5
0, 4, 2
9, 6, 2
9, 1, 5
5, 8, 4
