winner, loser, victorycount
7, 0, 4
3, 5, 11
4, 3, 4
9, 0, 5
3, 9, 3
0, 3, 6
7, 8, 4
9, 4, 1
0, 8, 7
9, 6, 5
1, 9, 5
9, 2, 7
8, 1, 7
8, 0, 5
1, 0, 4
6, 3, 12
2, 7, 2
5, 2, 5
6, 7, 5
5, 3, 3
0, 1, 3
8, 4, 11
2, 5, 4
4, 7, 2
0, 7, 3
2, 4, 5
6, 8, 2
8, 6, 6
4, 6, 5
5, 4, 1
4, 2, 8
3, 7, 3
3, 8, 2
5, 0, 11
8, 3, 6
3, 0, 9
2, 8, 8
0, 2, 3
1, 3, 4
9, 7, 4
9, 5, 3
6, 4, 5
7, 1, 5
3, 6, 6
0, 5, 3
6, 0, 7
1, 8, 3
1, 4, 5
8, 9, 7
6, 9, 4
5, 7, 2
2, 1, 5
7, 6, 8
0, 9, 4
9, 1, 3
3, 4, 4
4, 5, 7
5, 9, 5
9, 3, 8
2, 9, 10
1, 6, 2
8, 2, 6
2, 6, 4
3, 1, 2
5, 1, 5
2, 3, 4
0, 6, 7
1, 5, 3
7, 9, 2
5, 8, 2
7, 4, 6
5, 6, 6
4, 9, 4
7, 2, 1
4, 0, 7
9, 8, 10
8, 5, 8
6, 1, 4
4, 1, 4
3, 2, 4
1, 7, 4
1, 2, 1
7, 3, 6
0, 4, 6
7, 5, 5
2, 0, 5
6, 5, 4
8, 7, 11
6, 2, 5
4, 8, 3
