approaching, opponent, attackcount
3, 5, 3
2, 8, 2
4, 8, 4
1, 4, 2
0, 8, 2
8, 7, 5
3, 2, 4
1, 3, 7
3, 4, 5
5, 0, 5
5, 8, 2
8, 6, 4
0, 3, 4
5, 4, 4
0, 6, 1
9, 4, 1
0, 1, 6
2, 5, 4
7, 3, 8
1, 8, 6
7, 8, 7
5, 9, 3
4, 2, 3
1, 5, 10
3, 8, 3
1, 0, 5
9, 7, 8
5, 3, 6
6, 1, 9
8, 4, 8
8, 3, 2
7, 0, 1
9, 5, 2
0, 4, 6
3, 9, 2
3, 7, 8
0, 7, 4
6, 4, 5
7, 9, 6
8, 0, 3
9, 2, 10
5, 6, 6
4, 5, 1
6, 7, 5
7, 5, 5
2, 0, 6
3, 0, 12
7, 2, 6
4, 3, 1
8, 9, 4
6, 2, 5
3, 6, 7
5, 7, 5
8, 5, 4
2, 4, 4
9, 3, 8
2, 3, 3
8, 2, 7
4, 6, 11
9, 0, 0
5, 1, 9
0, 5, 8
9, 8, 4
7, 6, 7
4, 0, 3
4, 9, 4
1, 7, 2
3, 1, 3
2, 7, 5
8, 1, 7
7, 4, 6
1, 9, 5
6, 9, 6
0, 2, 4
7, 1, 6
0, 9, 5
9, 1, 7
9, 6, 4
2, 6, 6
6, 5, 4
1, 2, 3
5, 2, 6
6, 0, 1
1, 6, 7
2, 9, 7
2, 1, 3
4, 7, 8
4, 1, 3
6, 8, 11
6, 3, 6
