self, opp, fightsavoided
4, 0, 7
9, 2, 4
8, 2, 2
2, 6, 4
8, 6, 2
2, 5, 11
4, 6, 3
7, 3, 5
4, 8, 11
1, 7, 6
3, 2, 7
7, 8, 1
0, 5, 10
9, 0, 2
8, 5, 4
2, 1, 1
1, 8, 5
3, 5, 6
4, 2, 5
0, 7, 9
6, 3, 9
9, 3, 4
9, 1, 6
3, 1, 3
4, 7, 1
0, 9, 5
8, 0, 5
1, 2, 5
3, 6, 4
6, 8, 4
0, 2, 9
2, 4, 2
0, 4, 12
6, 2, 3
4, 9, 7
5, 2, 7
2, 7, 6
1, 3, 1
6, 5, 7
7, 6, 7
1, 9, 6
9, 7, 1
6, 4, 4
7, 1, 10
3, 9, 4
0, 1, 8
9, 8, 4
3, 4, 4
5, 7, 4
8, 9, 6
6, 0, 4
4, 5, 1
0, 3, 3
2, 0, 3
4, 3, 1
3, 7, 2
2, 3, 10
9, 6, 4
7, 5, 6
1, 5, 7
9, 4, 4
5, 6, 3
8, 1, 5
1, 0, 6
2, 9, 4
7, 2, 7
9, 5, 7
6, 1, 4
5, 8, 7
2, 8, 4
8, 7, 7
5, 0, 4
0, 6, 2
3, 0, 7
1, 6, 4
0, 8, 8
6, 9, 2
8, 4, 8
5, 9, 4
7, 0, 5
7, 4, 5
1, 4, 0
4, 1, 1
8, 3, 6
5, 4, 2
6, 7, 11
5, 3, 10
7, 9, 3
3, 8, 4
5, 1, 2
