winner, loser, victorycount
6, 4, 5
9, 1, 2
0, 8, 4
6, 2, 7
4, 9, 6
1, 5, 6
4, 7, 6
2, 1, 7
8, 3, 5
2, 8, 2
8, 4, 4
9, 5, 7
8, 0, 7
6, 5, 4
0, 9, 10
2, 6, 4
2, 9, 5
1, 9, 3
9, 3, 4
5, 3, 3
3, 7, 6
7, 1, 6
2, 0, 4
6, 0, 4
0, 1, 4
1, 6, 5
9, 7, 6
0, 7, 8
7, 6, 5
8, 7, 5
3, 5, 3
9, 6, 5
7, 9, 3
3, 0, 6
5, 8, 9
8, 9, 7
1, 8, 7
5, 0, 9
8, 2, 2
1, 2, 3
9, 8, 5
4, 3, 6
5, 6, 9
4, 5, 0
7, 2, 4
9, 0, 8
5, 1, 7
9, 4, 9
4, 8, 2
0, 2, 1
6, 7, 3
0, 5, 5
3, 9, 2
1, 0, 4
7, 4, 1
2, 5, 6
8, 5, 2
6, 9, 6
5, 4, 8
2, 7, 1
3, 6, 6
6, 3, 8
7, 0, 3
1, 4, 3
0, 3, 3
4, 1, 6
9, 2, 2
5, 2, 3
4, 2, 8
1, 7, 0
8, 6, 5
5, 9, 6
6, 1, 2
0, 4, 7
4, 0, 7
2, 3, 2
6, 8, 6
7, 3, 10
3, 8, 5
7, 8, 4
3, 1, 2
3, 4, 8
1, 3, 6
8, 1, 2
4, 6, 8
0, 6, 4
2, 4, 6
3, 2, 5
5, 7, 8
7, 5, 8
