approaching, opponent, attackcount
7, 0, 4
7, 6, 3
4, 0, 5
1, 0, 3
4, 9, 4
5, 7, 4
9, 2, 7
7, 8, 2
1, 2, 6
5, 1, 2
8, 7, 4
2, 0, 4
5, 0, 7
8, 4, 7
2, 9, 2
0, 4, 3
1, 9, 7
1, 8, 1
7, 2, 6
2, 3, 2
9, 0, 4
3, 9, 3
8, 6, 4
9, 8, 5
1, 7, 5
3, 8, 9
7, 5, 7
7, 4, 5
5, 2, 4
3, 6, 5
6, 4, 1
2, 7, 4
2, 5, 4
4, 6, 9
2, 8, 10
5, 6, 5
1, 5, 8
3, 4, 6
3, 7, 7
3, 0, 8
0, 3, 7
9, 7, 7
5, 8, 5
4, 8, 1
5, 9, 11
0, 5, 3
1, 6, 4
4, 3, 5
8, 3, 4
0, 6, 0
2, 4, 6
0, 7, 4
7, 3, 3
6, 9, 3
2, 1, 7
6, 3, 3
5, 4, 7
9, 4, 6
8, 5, 6
3, 5, 3
4, 5, 3
6, 7, 6
7, 1, 5
6, 5, 5
3, 2, 4
9, 6, 3
4, 2, 2
8, 2, 2
7, 9, 2
3, 1, 4
6, 1, 7
1, 3, 11
9, 1, 5
0, 1, 3
4, 1, 7
8, 9, 6
5, 3, 7
4, 7, 10
6, 2, 8
0, 8, 7
6, 8, 3
9, 5, 2
6, 0, 9
8, 1, 8
1, 4, 5
2, 6, 5
8, 0, 4
0, 9, 6
9, 3, 8
0, 2, 2
