self, opp, fightsavoided
8, 2, 7
7, 5, 5
8, 5, 13
6, 8, 4
3, 4, 4
1, 2, 1
8, 3, 5
0, 5, 3
9, 1, 3
5, 4, 5
5, 9, 9
5, 3, 7
4, 7, 8
7, 8, 2
9, 2, 3
4, 2, 7
9, 3, 6
5, 6, 4
6, 1, 1
2, 7, 4
6, 0, 4
3, 9, 8
1, 8, 2
6, 4, 10
8, 0, 4
7, 1, 5
6, 9, 10
9, 6, 2
7, 4, 5
5, 7, 2
9, 4, 8
4, 3, 5
7, 0, 4
8, 4, 5
2, 1, 5
5, 8, 10
8, 9, 3
4, 9, 3
9, 7, 6
0, 3, 1
7, 2, 6
3, 7, 4
0, 7, 3
4, 8, 1
1, 7, 8
0, 6, 3
0, 4, 5
1, 3, 6
3, 1, 2
5, 0, 3
0, 8, 7
8, 1, 3
2, 3, 4
7, 9, 10
3, 0, 4
3, 2, 5
1, 9, 7
8, 6, 8
6, 5, 9
2, 5, 5
0, 1, 6
2, 8, 4
1, 6, 3
3, 8, 5
6, 3, 6
2, 0, 8
4, 6, 7
9, 0, 4
5, 1, 1
9, 5, 7
2, 4, 9
1, 0, 5
9, 8, 10
6, 7, 7
5, 2, 6
4, 5, 5
2, 9, 7
7, 6, 1
3, 6, 2
2, 6, 5
3, 5, 3
1, 4, 5
8, 7, 2
0, 9, 6
1, 5, 3
6, 2, 3
4, 1, 1
0, 2, 3
4, 0, 5
7, 3, 5
