winner, loser, victorycount
0, 6, 6
7, 3, 7
9, 6, 7
5, 2, 4
1, 3, 5
1, 2, 4
3, 1, 4
6, 3, 2
2, 7, 2
9, 2, 3
8, 9, 6
3, 0, 4
8, 1, 5
4, 8, 2
4, 0, 2
9, 1, 9
0, 4, 4
4, 5, 5
5, 0, 8
7, 1, 6
3, 4, 3
2, 8, 7
2, 4, 11
7, 9, 4
2, 9, 3
9, 7, 3
6, 4, 7
6, 8, 6
2, 6, 4
1, 5, 6
7, 8, 10
2, 1, 6
0, 8, 4
1, 9, 3
1, 7, 4
9, 0, 7
1, 0, 11
0, 7, 2
5, 7, 2
7, 5, 10
3, 8, 5
1, 6, 10
3, 7, 4
5, 6, 5
0, 1, 2
5, 3, 2
7, 2, 8
3, 2, 6
5, 4, 4
9, 3, 4
9, 4, 4
4, 9, 6
0, 5, 6
2, 0, 6
4, 7, 9
6, 2, 2
6, 7, 2
7, 4, 5
0, 3, 5
2, 5, 4
8, 7, 7
2, 3, 4
1, 8, 3
5, 9, 7
8, 2, 2
3, 5, 5
3, 6, 2
1, 4, 3
8, 3, 5
6, 1, 5
4, 3, 3
4, 1, 5
8, 0, 9
7, 0, 9
6, 9, 3
6, 5, 5
8, 4, 7
7, 6, 3
8, 5, 6
0, 9, 5
6, 0, 4
8, 6, 5
9, 8, 3
9, 5, 7
3, 9, 3
5, 1, 4
0, 2, 4
5, 8, 6
4, 6, 4
4, 2, 5
