approaching, opponent, attackcount
6, 7, 6
2, 5, 4
1, 0, 5
7, 4, 10
9, 1, 4
9, 4, 6
3, 5, 13
0, 7, 3
2, 0, 8
4, 2, 5
3, 8, 8
4, 0, 1
9, 0, 2
6, 9, 4
8, 2, 7
8, 5, 2
0, 2, 5
2, 8, 5
5, 1, 3
7, 3, 4
4, 8, 3
5, 6, 3
4, 5, 3
0, 3, 1
5, 8, 11
2, 7, 4
5, 7, 7
4, 7, 4
8, 1, 5
2, 9, 9
9, 3, 5
8, 9, 6
3, 2, 3
2, 6, 3
4, 6, 5
1, 9, 6
7, 0, 5
0, 4, 6
4, 3, 4
5, 0, 7
7, 8, 6
2, 4, 4
2, 1, 5
3, 7, 7
5, 2, 7
5, 4, 7
7, 6, 8
1, 2, 3
0, 8, 4
6, 1, 8
2, 3, 5
0, 5, 5
6, 5, 5
8, 6, 1
7, 1, 10
1, 4, 5
3, 4, 4
9, 7, 4
4, 1, 8
1, 8, 2
8, 0, 4
9, 2, 4
9, 6, 6
7, 2, 3
6, 3, 4
3, 0, 4
7, 9, 4
6, 2, 3
5, 9, 6
3, 1, 4
9, 8, 2
1, 5, 3
3, 6, 5
0, 6, 4
0, 9, 3
6, 8, 4
3, 9, 6
7, 5, 6
6, 0, 7
9, 5, 4
8, 3, 7
6, 4, 6
0, 1, 1
1, 7, 8
1, 3, 7
5, 3, 6
1, 6, 3
8, 7, 4
8, 4, 2
4, 9, 7
