self, opp, fightsavoided
4, 8, 1
6, 0, 5
7, 5, 6
5, 3, 8
0, 5, 2
7, 1, 6
8, 2, 6
2, 1, 3
7, 3, 5
4, 2, 4
5, 7, 5
5, 6, 4
9, 4, 1
9, 5, 4
6, 1, 6
7, 0, 3
7, 8, 2
3, 5, 6
2, 4, 3
6, 7, 6
3, 7, 2
0, 1, 9
7, 2, 5
4, 6, 7
5, 1, 6
2, 0, 2
5, 2, 7
1, 3, 11
0, 6, 11
8, 0, 6
6, 2, 7
3, 9, 0
0, 9, 7
4, 5, 5
3, 2, 2
9, 8, 6
0, 8, 6
2, 5, 5
8, 5, 7
5, 9, 1
8, 9, 6
6, 4, 4
6, 3, 9
9, 6, 4
1, 7, 3
5, 0, 6
8, 7, 5
7, 9, 4
2, 9, 3
2, 8, 10
0, 2, 0
4, 1, 6
1, 4, 0
4, 0, 3
1, 5, 5
9, 2, 1
4, 7, 8
9, 7, 5
1, 6, 2
8, 3, 7
4, 3, 10
9, 1, 4
1, 0, 2
1, 2, 5
3, 4, 0
9, 0, 6
0, 7, 7
3, 8, 4
6, 8, 2
9, 3, 8
8, 4, 5
1, 9, 0
8, 6, 7
5, 8, 6
8, 1, 5
7, 6, 7
1, 8, 8
0, 4, 2
6, 9, 4
3, 1, 10
2, 6, 7
2, 7, 7
4, 9, 4
3, 0, 4
3, 6, 3
6, 5, 6
7, 4, 1
2, 3, 9
0, 3, 14
5, 4, 4
