winner, loser, victorycount
9, 5, 4
3, 5, 13
5, 0, 7
4, 1, 8
1, 6, 3
5, 3, 6
4, 2, 5
2, 1, 5
2, 9, 9
0, 4, 6
1, 2, 3
9, 3, 5
6, 1, 8
7, 6, 8
0, 7, 3
4, 0, 1
3, 7, 7
3, 9, 6
0, 6, 4
4, 8, 3
7, 8, 6
8, 1, 5
4, 7, 4
1, 4, 5
8, 4, 2
0, 2, 5
0, 3, 1
2, 4, 4
1, 7, 8
1, 8, 2
2, 3, 5
5, 8, 11
6, 7, 6
7, 4, 10
0, 8, 4
0, 9, 3
0, 5, 5
8, 0, 4
4, 6, 5
2, 7, 4
9, 7, 4
9, 4, 6
7, 5, 6
1, 9, 6
8, 3, 7
5, 7, 7
3, 8, 8
5, 1, 3
2, 5, 4
4, 9, 7
6, 3, 4
2, 0, 8
2, 6, 3
7, 3, 4
6, 5, 5
8, 2, 7
7, 2, 3
0, 1, 1
8, 5, 2
3, 2, 3
8, 9, 6
5, 6, 3
6, 0, 7
5, 9, 6
3, 0, 4
9, 1, 4
6, 9, 4
1, 5, 3
5, 4, 7
6, 4, 6
6, 2, 3
9, 2, 4
3, 4, 4
8, 6, 1
1, 0, 5
4, 3, 4
5, 2, 7
9, 0, 2
9, 8, 2
8, 7, 4
7, 0, 5
7, 9, 4
9, 6, 6
1, 3, 7
7, 1, 10
2, 8, 5
3, 6, 5
3, 1, 4
4, 5, 3
6, 8, 4
