approaching, opponent, attackcount
6, 1, 10
9, 1, 1
5, 0, 8
2, 5, 3
2, 6, 4
5, 9, 7
0, 8, 6
3, 2, 10
2, 9, 4
2, 7, 6
4, 0, 4
8, 5, 2
3, 1, 6
3, 4, 6
9, 4, 9
5, 6, 3
9, 0, 4
8, 9, 11
2, 0, 4
4, 5, 5
0, 1, 7
7, 0, 3
2, 3, 4
4, 9, 7
6, 4, 8
7, 2, 10
8, 2, 7
4, 8, 0
0, 9, 3
8, 1, 13
9, 7, 9
2, 4, 1
6, 8, 1
5, 3, 8
6, 9, 5
5, 7, 6
1, 9, 3
7, 6, 6
4, 2, 5
7, 3, 5
3, 9, 4
9, 3, 4
0, 6, 3
1, 5, 5
6, 0, 5
2, 1, 4
4, 7, 8
7, 8, 5
5, 8, 1
6, 7, 3
7, 9, 8
6, 2, 3
6, 3, 5
5, 1, 4
3, 8, 2
1, 2, 4
1, 8, 4
5, 4, 7
9, 2, 7
1, 4, 6
1, 6, 0
8, 0, 10
3, 0, 7
1, 3, 4
7, 5, 7
4, 1, 7
8, 6, 1
7, 4, 7
9, 5, 3
0, 5, 4
0, 3, 6
0, 2, 4
5, 2, 9
1, 7, 1
6, 5, 3
1, 0, 6
8, 4, 14
4, 3, 2
8, 7, 6
3, 7, 4
7, 1, 1
0, 7, 7
9, 6, 1
2, 8, 2
3, 5, 6
8, 3, 3
3, 6, 0
4, 6, 5
9, 8, 2
0, 4, 2
