self, opp, fightsavoided
3, 6, 4
8, 5, 4
9, 1, 0
3, 8, 6
8, 4, 3
5, 2, 4
4, 7, 6
3, 2, 9
5, 1, 7
4, 3, 1
2, 9, 6
6, 9, 8
8, 3, 2
5, 0, 6
2, 5, 3
9, 3, 0
9, 4, 4
1, 3, 6
1, 9, 8
3, 7, 8
3, 1, 5
0, 6, 9
9, 6, 3
8, 0, 7
8, 7, 3
3, 9, 8
0, 8, 7
6, 5, 0
8, 9, 4
1, 5, 9
4, 0, 4
6, 1, 0
9, 5, 0
4, 6, 11
9, 0, 2
7, 2, 4
8, 1, 4
0, 4, 3
7, 9, 11
5, 3, 7
1, 0, 6
6, 3, 0
4, 5, 2
9, 2, 6
2, 0, 8
6, 7, 2
4, 8, 3
2, 7, 3
0, 9, 2
9, 7, 4
5, 6, 5
6, 2, 4
5, 4, 4
2, 4, 6
2, 3, 4
1, 8, 6
7, 4, 5
4, 1, 6
8, 6, 5
1, 4, 8
7, 0, 4
4, 9, 8
7, 5, 0
3, 0, 6
5, 7, 12
1, 2, 6
3, 4, 5
7, 3, 0
0, 5, 4
1, 6, 6
3, 5, 5
2, 8, 6
1, 7, 11
7, 8, 3
2, 1, 8
8, 2, 5
4, 2, 6
0, 3, 9
7, 1, 0
0, 7, 7
9, 8, 4
6, 8, 6
5, 9, 7
7, 6, 6
0, 2, 4
2, 6, 7
5, 8, 13
6, 4, 5
6, 0, 1
0, 1, 1
