winner, loser, victorycount
9, 7, 6
9, 1, 7
6, 3, 2
8, 6, 4
4, 1, 6
5, 0, 12
7, 0, 9
9, 6, 4
0, 8, 3
5, 6, 15
8, 4, 1
0, 3, 3
1, 0, 4
2, 9, 5
5, 2, 7
8, 9, 3
4, 7, 2
2, 5, 2
7, 3, 4
8, 2, 7
0, 4, 2
9, 5, 2
1, 4, 0
7, 2, 5
8, 0, 6
5, 3, 1
6, 5, 4
1, 5, 3
9, 3, 4
5, 1, 6
8, 3, 2
5, 9, 10
2, 8, 9
1, 7, 1
3, 6, 16
6, 7, 5
2, 1, 4
6, 1, 10
5, 4, 3
8, 7, 2
4, 6, 15
1, 6, 4
3, 8, 9
4, 0, 4
8, 1, 3
1, 8, 5
3, 9, 8
4, 3, 5
2, 0, 4
8, 5, 2
0, 5, 3
0, 6, 4
4, 2, 4
0, 7, 3
5, 7, 8
7, 6, 10
6, 4, 4
7, 8, 4
1, 9, 6
3, 5, 6
3, 0, 11
3, 7, 6
5, 8, 7
7, 4, 2
4, 5, 3
0, 9, 2
3, 2, 10
4, 9, 6
3, 4, 7
1, 3, 3
9, 4, 3
6, 2, 2
2, 7, 7
7, 9, 3
9, 8, 2
2, 4, 3
0, 1, 3
7, 5, 3
6, 8, 3
2, 6, 4
1, 2, 7
0, 2, 2
4, 8, 7
3, 1, 8
9, 2, 5
7, 1, 8
9, 0, 6
6, 0, 4
2, 3, 0
6, 9, 1
