approaching, opponent, attackcount
0, 1, 6
0, 8, 5
8, 9, 8
0, 4, 1
5, 9, 3
7, 0, 7
9, 8, 6
9, 4, 3
5, 3, 4
3, 1, 2
0, 9, 3
3, 9, 12
1, 9, 7
1, 5, 2
0, 7, 5
4, 0, 4
1, 2, 2
2, 7, 6
1, 8, 4
3, 5, 6
2, 0, 4
0, 5, 8
1, 0, 6
7, 8, 2
7, 6, 2
6, 5, 10
2, 9, 3
4, 7, 3
3, 8, 4
1, 4, 3
8, 3, 10
8, 0, 2
9, 7, 8
6, 4, 8
5, 4, 7
0, 3, 2
6, 9, 7
5, 8, 3
0, 6, 6
4, 2, 2
8, 5, 7
4, 1, 6
5, 6, 3
4, 5, 4
8, 1, 6
7, 5, 5
9, 0, 9
5, 0, 4
2, 1, 1
5, 7, 8
4, 9, 5
6, 2, 6
8, 2, 2
8, 7, 3
1, 3, 1
3, 2, 6
2, 8, 3
1, 7, 2
5, 1, 2
1, 6, 6
2, 6, 6
9, 5, 3
5, 2, 8
6, 1, 5
7, 9, 9
9, 6, 6
3, 6, 5
9, 2, 1
2, 3, 7
4, 8, 5
3, 4, 4
9, 3, 9
7, 2, 5
4, 6, 5
9, 1, 6
7, 4, 5
3, 7, 10
2, 5, 5
0, 2, 5
7, 3, 8
7, 1, 4
6, 0, 6
2, 4, 4
8, 6, 6
6, 8, 5
4, 3, 3
6, 7, 2
3, 0, 1
8, 4, 7
6, 3, 10
