self, opp, fightsavoided
0, 6, 0
5, 4, 8
1, 3, 0
6, 1, 0
2, 9, 11
5, 1, 0
8, 4, 9
6, 3, 0
5, 6, 0
3, 4, 15
9, 6, 0
3, 0, 11
9, 1, 0
9, 0, 8
7, 6, 0
3, 6, 0
0, 5, 2
6, 4, 18
2, 5, 4
8, 7, 8
0, 2, 4
3, 7, 8
6, 2, 2
0, 1, 0
1, 0, 6
6, 8, 11
3, 1, 0
8, 9, 9
3, 8, 2
4, 0, 10
7, 0, 8
9, 7, 7
9, 3, 0
0, 4, 15
4, 2, 5
2, 7, 10
2, 8, 6
4, 8, 3
4, 1, 0
9, 4, 10
1, 6, 0
1, 7, 10
4, 7, 5
6, 9, 8
0, 8, 3
8, 5, 0
3, 9, 13
1, 8, 5
7, 5, 2
5, 2, 5
6, 0, 10
0, 3, 0
9, 5, 5
2, 1, 0
8, 6, 0
7, 4, 8
1, 5, 8
5, 3, 0
9, 8, 8
8, 3, 0
6, 7, 5
4, 6, 0
3, 2, 8
9, 2, 2
4, 5, 2
1, 9, 12
7, 2, 1
5, 8, 6
4, 3, 0
5, 0, 14
6, 5, 5
2, 6, 0
5, 9, 5
7, 8, 1
3, 5, 4
8, 1, 0
2, 4, 9
1, 2, 8
0, 9, 8
8, 2, 2
8, 0, 9
5, 7, 5
7, 1, 0
7, 9, 5
2, 0, 14
2, 3, 0
0, 7, 13
7, 3, 0
4, 9, 3
1, 4, 10
