winner, loser, victorycount
1, 7, 5
6, 2, 2
0, 6, 2
4, 7, 4
5, 2, 5
4, 8, 2
9, 7, 6
6, 7, 6
3, 1, 2
4, 5, 3
3, 4, 5
3, 9, 4
9, 0, 8
6, 9, 4
0, 9, 4
6, 0, 3
2, 5, 6
3, 6, 5
1, 2, 3
4, 1, 5
5, 0, 7
1, 4, 9
7, 2, 2
2, 0, 3
7, 3, 7
9, 4, 11
9, 6, 4
7, 6, 3
0, 1, 2
5, 8, 3
6, 4, 7
8, 1, 3
7, 8, 4
0, 4, 4
8, 4, 4
3, 2, 0
6, 5, 9
9, 3, 7
9, 1, 2
1, 3, 3
9, 8, 2
4, 2, 3
1, 5, 9
8, 6, 6
9, 2, 1
8, 7, 4
1, 8, 1
2, 9, 4
7, 4, 12
2, 6, 5
1, 0, 5
5, 1, 2
7, 1, 7
4, 3, 3
6, 8, 2
2, 4, 5
2, 1, 3
3, 7, 6
5, 3, 4
5, 9, 7
8, 3, 4
7, 9, 7
8, 9, 4
9, 5, 9
0, 7, 5
6, 3, 7
6, 1, 8
4, 9, 7
2, 3, 6
8, 5, 2
1, 6, 8
3, 8, 3
7, 0, 3
2, 7, 3
0, 5, 3
2, 8, 9
5, 4, 11
3, 5, 8
5, 6, 11
3, 0, 2
4, 6, 7
8, 0, 9
1, 9, 2
0, 8, 3
5, 7, 10
8, 2, 5
4, 0, 5
0, 3, 8
0, 2, 4
7, 5, 9
