approaching, opponent, attackcount
8, 1, 2
2, 7, 8
6, 1, 4
4, 5, 10
0, 4, 2
8, 5, 6
6, 4, 4
4, 9, 5
2, 5, 2
0, 5, 7
5, 1, 4
3, 5, 0
8, 9, 6
9, 2, 2
2, 8, 3
2, 9, 6
8, 4, 1
8, 3, 3
2, 3, 4
7, 0, 16
1, 9, 11
5, 2, 3
0, 8, 4
7, 4, 2
7, 8, 3
1, 4, 2
3, 0, 13
1, 6, 0
9, 0, 14
6, 3, 12
3, 2, 2
2, 6, 3
7, 3, 6
6, 9, 4
7, 2, 1
8, 2, 5
1, 2, 2
9, 8, 3
9, 7, 4
5, 3, 6
3, 9, 11
5, 8, 3
8, 6, 5
7, 6, 1
4, 0, 12
5, 9, 5
6, 5, 5
8, 7, 6
2, 4, 2
1, 8, 5
0, 6, 2
1, 7, 4
9, 1, 3
5, 4, 2
4, 3, 9
6, 0, 13
4, 2, 1
2, 1, 2
9, 6, 1
8, 0, 10
5, 0, 13
4, 6, 0
0, 1, 3
6, 8, 3
0, 7, 6
3, 6, 6
3, 4, 1
9, 3, 5
3, 1, 4
9, 4, 1
0, 9, 8
7, 1, 2
0, 3, 8
3, 8, 5
4, 8, 0
4, 7, 5
6, 2, 0
7, 5, 3
7, 9, 11
0, 2, 3
1, 3, 6
4, 1, 1
1, 5, 9
9, 5, 10
1, 0, 11
2, 0, 10
5, 7, 8
3, 7, 4
6, 7, 6
5, 6, 1
